sid,descrip,bc,bsth,cs,os,ts,bc.red,bsth.red,ts.red,os.red,cs.red,bsth.bc.red,ts.bc.red,os.bc.red,cs.bc.red,ts.bsth.red,os.bsth.red,cs.bsth.red
1,ref,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
2,low DM,0.19,0.13,0.0015,0.058,0.12,47,57,47,50,17,33,39,70,99,8.9,55,99
3,high DM,0.72,0.64,0.0035,0.34,0.28,-100,-110,-27,-200,-100,10,61,53,100,57,47,99
4,pig,0.33,0.27,0.0017,0.1,0.2,8,9.9,9.5,9.8,3.6,18,39,69,99,26,62,99
5,low application,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
6,high application,0.36,0.3,0.0018,0.11,0.22,-2e-13,1.1e-13,3.3e-14,-1.1e-13,1.1e-13,16,38,68,100,27,62,99
7,shallow incorp,0.27,0.12,0.00058,0.043,0.068,24,60,69,62,67,56,75,84,100,43,64,100
8,deep incorp,0.24,0.055,0.00022,0.019,0.015,32,82,93,83,87,77,94,92,100,73,65,100
9,shallow incorp quick,0.12,0.087,0.00047,0.033,0.063,65,71,72,72,73,30,49,74,100,28,62,99
10,cold,0.29,0.28,0.00058,0.086,0.16,18,8.3,27,24,67,6.1,45,71,100,41,69,100
11,cool,0.31,0.28,0.00093,0.095,0.19,12,5.4,15,17,47,9.3,40,70,100,34,67,100
12,warm,0.47,0.35,0.0045,0.17,0.29,-32,-16,-30,-51,-160,26,39,63,99,18,50,99
13,hot,0.86,0.68,0.044,0.59,0.65,-140,-120,-200,-410,-2400,21,24,31,95,3.5,13,93
14,cooling,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
15,warming,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
16,still,0.36,0.29,0.0017,0.11,0.14,0.3,4.2,35,3.3,1.1,19,60,69,100,51,62,99
17,windy,0.36,0.31,0.0018,0.12,0.3,-0.21,-2.5,-38,-2,-0.66,14,15,67,100,1.7,62,99
18,light rain,0.34,0.28,0.0015,0.11,0.21,4.7,5.4,5.9,7.2,12,16,39,69,100,27,63,99
19,moderate rain,0.00077,0.00011,1.8e-06,6.4e-05,5.4e-05,100,100,100,100,100,86,93,92,100,51,42,98
20,heavy rain,2.2e-05,6.7e-06,2.6e-07,6.7e-06,6.7e-06,100,100,100,100,100,69,69,69,99,4.2e-08,3.4e-08,96
21,pH 6.4,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
22,pH 6,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
23,tall cereal,0.36,0.3,0.0018,0.11,0.22,0,0,0,0,0,16,38,68,100,27,62,99
24,"low DM, high application, cold, still",0.11,0.098,0.00028,0.028,0.054,69,67,75,75,84,12,51,75,100,45,71,100
25,"high DM, low application, hot, windy",0.94,0.86,0.046,0.7,0.85,-160,-190,-290,-520,-2500,8.4,9.2,25,95,0.88,18,95
26,"high DM, low application, hot, windy, pH 6",0.94,0.86,0.046,0.7,0.85,-160,-190,-290,-520,-2500,8.4,9.2,25,95,0.88,18,95
27,best,0.01,0.0022,1.2e-05,0.00074,0.0013,97,99,99,99,99,78,87,93,100,40,67,99
