app.mthd,rmse,me,mae,mbe,er.mn,er.md,n
bc,0.193440592449754,0.463027752818332,0.147519548682616,-0.0378601421364983,0.39801534570134,0.408477086718192,222
bsth,0.103365379489365,0.224760646350557,0.0789955764230309,0.00568149398258249,0.193239289592339,0.169737134390104,205
ts,0.149610210522528,0.276850988592401,0.104381887509721,-0.00326847481087816,0.258944408624705,0.261934692461804,163
os,0.140275220499824,-1.28306403526179,0.114583101194297,0.0803397711925255,0.217772116570677,0.196321458787222,119
cs,0.0695319525981682,-0.418507775296818,0.0636357639510279,-0.0216487901485104,0.0220979944668742,0.0117719865992742,13
