pars,dataset,app.mthd,rmse,me,mae,mbe,n
ps1,2,bc,0.2519,0.1803,0.1945,-0.1471,128
ps1,2,bsth,0.09944,0.1449,0.08084,6.435e-05,161
ps1,2,cs,0.2173,-35.65,0.1847,0.1847,12
ps1,2,os,0.1085,0.02624,0.0888,0.03035,85
ps1,2,ts,0.1955,0.1627,0.1481,-0.01621,97
ps2,2,bc,0.2191,0.3799,0.1718,-0.07181,128
ps2,2,bsth,0.08985,0.3019,0.06401,-0.006388,161
ps2,2,cs,0.05415,-1.276,0.04495,-0.04235,12
ps2,2,os,0.09947,0.1812,0.08264,0.02586,85
ps2,2,ts,0.1934,0.18,0.1459,0.01466,97
nullA,2,bc,0.4304,-1.392,0.3541,-0.3348,128
nullA,2,bsth,0.1108,-0.06199,0.09307,0.03049,161
nullA,2,cs,0.1637,-19.8,0.1609,0.1609,12
nullA,2,os,0.123,-0.2523,0.11,0.05719,85
nullA,2,ts,0.22,-0.06067,0.1615,-0.06716,97
nullB,2,bc,0.2729,0.03794,0.2385,-0.06402,128
nullB,2,bsth,0.1131,-0.1054,0.08017,-0.03779,161
nullB,2,cs,0.06842,-2.634,0.05825,-0.05825,12
nullB,2,os,0.1121,-0.03909,0.08854,-0.02552,85
nullB,2,ts,0.2344,-0.2037,0.1642,-0.1032,97
nullC,2,bc,0.2145,0.406,0.179,-0.04565,128
nullC,2,bsth,0.09591,0.2046,0.07227,-0.01399,161
nullC,2,cs,0.06824,-2.614,0.05733,-0.05634,12
nullC,2,os,0.1046,0.09545,0.09005,0.01009,85
nullC,2,ts,0.211,0.02478,0.1582,-0.04386,97
