pars,dataset,app.mthd,incorp,rmse,me,mae,mbe,er.mn,er.md,n
f1,1,bc,none,0.192,0.4062,0.1478,-0.0451,0.4713,0.5206,166
f2,1,bc,none,0.1734,0.5154,0.1372,-0.001552,0.5148,0.5679,166
f3,1,bc,none,0.1758,0.5019,0.1377,-0.004709,0.5117,0.5548,166
f4,1,bc,none,0.1782,0.4881,0.1385,-0.002949,0.5134,0.5583,166
f5,1,bc,none,0.1793,0.4819,0.1399,-0.00101,0.5154,0.551,166
f6,1,bc,none,0.1792,0.4829,0.141,-0.003541,0.5128,0.541,166
f7,1,bc,none,0.1779,0.4899,0.1413,-0.005234,0.5111,0.5451,166
f8,1,bc,none,0.1794,0.4817,0.1412,-0.003784,0.5126,0.5402,166
f9,1,bc,none,0.1791,0.4832,0.1409,-0.00365,0.5127,0.5411,166
f10,1,bc,none,0.1793,0.482,0.1404,-0.01127,0.5051,0.5432,166
f11,1,bc,none,0.1793,0.4823,0.1452,-0.009063,0.5073,0.5197,166
f12,1,bc,none,0.1771,0.4949,0.1379,-0.005244,0.5111,0.5407,166
f13,1,bc,none,0.1752,0.5054,0.1343,-0.005159,0.5112,0.5583,166
f14,1,bc,none,0.1752,0.5057,0.1348,-0.004881,0.5115,0.5514,166
f20,1,bc,none,0.1822,0.4649,0.1414,-0.01316,0.5032,0.5386,166
f21,1,bc,none,0.1775,0.4926,0.1373,-0.005075,0.5113,0.5532,166
f22,1,bc,none,0.1821,0.4654,0.1452,-0.004936,0.5114,0.5351,166
f23,1,bc,none,0.1814,0.4698,0.1436,-0.002131,0.5142,0.5443,166
f24,1,bc,none,0.1814,0.4698,0.1436,-0.002134,0.5142,0.5443,166
f25,1,bc,none,0.1811,0.4715,0.143,-0.002808,0.5136,0.5436,166
f26,1,bc,none,0.1772,0.4939,0.1377,-0.0001591,0.5162,0.5527,166
f27,1,bc,none,0.1787,0.4854,0.1392,-0.006367,0.51,0.5401,166
f28,1,bc,none,0.182,0.4663,0.1411,-0.01261,0.5038,0.5378,166
f29,1,bc,none,0.182,0.4663,0.1411,-0.0126,0.5038,0.5378,166
ps3,1,bc,none,0.182,0.4663,0.1411,-0.0126,0.5038,0.5378,166
dropweather,1,bc,none,0.1944,0.3909,0.1492,-0.03041,0.486,0.5487,166
dropprop,1,bc,none,0.2288,0.1562,0.1977,-0.02007,0.4963,0.5061,166
dropapp,1,bc,none,0.4063,-1.66,0.34,-0.3285,0.1879,0.1677,166
loocv-104,1,bc,none,0.1813,0.4702,0.1415,-0.003976,0.5124,0.5439,166
loocv-202,1,bc,none,0.1804,0.4756,0.1392,-0.009768,0.5066,0.534,166
loocv-203,1,bc,none,0.1821,0.4654,0.1409,-0.01088,0.5055,0.5403,166
loocv-204,1,bc,none,0.1816,0.4688,0.1405,-0.006413,0.51,0.5489,166
loocv-205,1,bc,none,0.1823,0.4643,0.1406,-0.00776,0.5086,0.5405,166
loocv-206,1,bc,none,0.1824,0.4641,0.1412,-0.008386,0.508,0.5412,166
loocv-207,1,bc,none,0.1821,0.4658,0.1419,-0.000456,0.5159,0.5482,166
loocv-208,1,bc,none,0.1833,0.4586,0.1423,-0.005599,0.5108,0.5498,166
loocv-209,1,bc,none,0.1817,0.4681,0.1408,-0.00508,0.5113,0.5437,166
loocv-210,1,bc,none,0.1823,0.4648,0.1415,-0.005285,0.5111,0.5484,166
loocv-212,1,bc,none,0.1771,0.4947,0.1407,-0.002646,0.5137,0.5566,166
loocv-303,1,bc,none,0.1822,0.4652,0.1412,-0.008231,0.5081,0.5439,166
loocv-304,1,bc,none,0.1822,0.465,0.1412,-0.008337,0.508,0.5439,166
loocv-214,1,bc,none,0.211,0.2827,0.1599,-0.09371,0.4227,0.4278,166
ps1,1,bc,none,0.2661,-0.1405,0.2024,-0.1666,0.3498,0.3573,166
ps2,1,bc,none,0.2106,0.2852,0.1615,-0.0552,0.4612,0.4811,166
f1,2,bc,none,0.186,0.4531,0.1452,-0.0428,0.4718,0.5206,147
f2,2,bc,none,0.1693,0.5466,0.1352,0.001616,0.5162,0.573,147
f3,2,bc,none,0.172,0.5322,0.1372,-0.0008241,0.5138,0.5545,147
f4,2,bc,none,0.174,0.5215,0.1376,0.001966,0.5166,0.5585,147
f5,2,bc,none,0.175,0.5155,0.1386,0.003894,0.5185,0.5544,147
f6,2,bc,none,0.1759,0.5105,0.1408,0.00158,0.5162,0.5421,147
f7,2,bc,none,0.4156,-1.732,0.3507,-0.35,0.1646,0.1776,147
f8,2,bc,none,0.176,0.51,0.1409,0.001455,0.5161,0.5405,147
f9,2,bc,none,0.1759,0.5108,0.1407,0.001454,0.5161,0.5426,147
f10,2,bc,none,0.1747,0.5175,0.1393,-0.006465,0.5081,0.5458,147
f11,2,bc,none,0.1724,0.53,0.1403,0.002771,0.5174,0.5563,147
f12,2,bc,none,0.1931,0.4107,0.1525,0.0673,0.5819,0.6557,147
f13,2,bc,none,0.1997,0.3696,0.1533,-0.08775,0.4269,0.4455,147
f14,2,bc,none,0.1824,0.4739,0.1411,-0.02249,0.4921,0.5374,147
f20,2,bc,none,0.1788,0.4944,0.1412,-0.008467,0.5061,0.5408,147
f21,2,bc,none,0.1769,0.5052,0.1417,0.006295,0.5209,0.5454,147
f22,2,bc,none,0.1794,0.491,0.1454,5.62e-06,0.5146,0.5374,147
f23,2,bc,none,0.1791,0.4927,0.1441,0.002439,0.517,0.5417,147
f24,2,bc,none,0.1791,0.4928,0.1441,0.00244,0.517,0.5417,147
f25,2,bc,none,0.1787,0.4949,0.1436,0.002078,0.5167,0.5422,147
f26,2,bc,none,0.176,0.5099,0.1398,0.006656,0.5213,0.5582,147
f27,2,bc,none,0.1767,0.5062,0.1405,5.802e-05,0.5147,0.5487,147
f28,2,bc,none,0.1787,0.4949,0.1411,-0.007911,0.5067,0.5408,147
f29,2,bc,none,0.1787,0.4949,0.1411,-0.007902,0.5067,0.5409,147
ps3,2,bc,none,0.1787,0.4949,0.1411,-0.007902,0.5067,0.5409,147
dropweather,2,bc,none,0.19,0.4295,0.1487,-0.02526,0.4893,0.5508,147
dropprop,2,bc,none,0.2292,0.1694,0.198,-0.02149,0.4931,0.5025,147
dropapp,2,bc,none,0.4036,-1.575,0.3343,-0.3285,0.1861,0.1656,147
loocv-104,2,bc,none,0.1791,0.493,0.1417,0.0001107,0.5147,0.5425,147
loocv-202,2,bc,none,0.1766,0.5068,0.1386,-0.004789,0.5098,0.5377,147
loocv-203,2,bc,none,0.1791,0.4926,0.1409,-0.006548,0.5081,0.5381,147
loocv-204,2,bc,none,0.1788,0.4944,0.1407,-0.001678,0.5129,0.5478,147
loocv-205,2,bc,none,0.1789,0.4937,0.1402,-0.003373,0.5112,0.5376,147
loocv-206,2,bc,none,0.1793,0.4919,0.141,-0.003882,0.5107,0.541,147
loocv-207,2,bc,none,0.1787,0.4953,0.1413,0.004845,0.5195,0.5501,147
loocv-208,2,bc,none,0.1798,0.4886,0.1415,-0.001215,0.5134,0.5506,147
loocv-209,2,bc,none,0.1786,0.4954,0.1406,-0.0003672,0.5142,0.5427,147
loocv-210,2,bc,none,0.179,0.4936,0.1409,-0.0008456,0.5138,0.5489,147
loocv-212,2,bc,none,0.1723,0.5306,0.1373,-0.002701,0.5119,0.5557,147
loocv-303,2,bc,none,0.1792,0.4924,0.141,-0.003833,0.5108,0.5431,147
loocv-304,2,bc,none,0.1791,0.4929,0.1409,-0.003868,0.5107,0.5437,147
loocv-214,2,bc,none,0.2109,0.297,0.1604,-0.08965,0.425,0.427,147
ps1,2,bc,none,0.2663,-0.1216,0.2021,-0.1622,0.3524,0.3585,147
ps2,2,bc,none,0.2057,0.3307,0.1601,-0.05175,0.4629,0.4786,147
f1,1,bsth,none,0.08984,0.2921,0.06456,-0.02327,0.1612,0.1457,201
f2,1,bsth,none,0.08779,0.324,0.06807,-0.001728,0.1828,0.1671,201
f3,1,bsth,none,0.08684,0.3386,0.06754,-0.002615,0.1819,0.1639,201
f4,1,bsth,none,0.08596,0.3518,0.06707,-0.0002642,0.1842,0.168,201
f5,1,bsth,none,0.086,0.3513,0.06738,0.000626,0.1851,0.1692,201
f6,1,bsth,none,0.08601,0.3511,0.06419,-0.004972,0.1795,0.1582,201
f7,1,bsth,none,0.08738,0.3303,0.06701,-0.002753,0.1817,0.1632,201
f8,1,bsth,none,0.08602,0.351,0.06422,-0.005025,0.1795,0.1579,201
f9,1,bsth,none,0.08601,0.3512,0.06421,-0.004861,0.1796,0.1584,201
f10,1,bsth,none,0.0853,0.3617,0.06633,0.0002069,0.1847,0.166,201
f11,1,bsth,none,0.08978,0.293,0.06941,-0.008504,0.176,0.153,201
f12,1,bsth,none,0.08616,0.3489,0.06471,-0.004452,0.18,0.1601,201
f13,1,bsth,none,0.0861,0.3498,0.06412,-0.005475,0.179,0.1592,201
f14,1,bsth,none,0.08613,0.3493,0.06432,-0.005082,0.1794,0.1597,201
f20,1,bsth,none,0.08733,0.331,0.06598,-0.003435,0.181,0.1625,201
f21,1,bsth,none,0.08697,0.3366,0.06469,-0.005644,0.1788,0.1582,201
f22,1,bsth,none,0.08701,0.3359,0.06496,-0.005054,0.1794,0.1574,201
f23,1,bsth,none,0.08783,0.3234,0.06518,-0.005369,0.1791,0.1554,201
f24,1,bsth,none,0.08783,0.3234,0.06518,-0.005376,0.1791,0.1554,201
f25,1,bsth,none,0.0878,0.3238,0.06503,-0.005696,0.1788,0.1581,201
f26,1,bsth,none,0.08755,0.3277,0.06387,-0.006747,0.1777,0.1543,201
f27,1,bsth,none,0.08687,0.3381,0.06415,-0.00608,0.1784,0.1555,201
f28,1,bsth,none,0.08724,0.3324,0.06605,-0.002835,0.1816,0.1624,201
f29,1,bsth,none,0.08725,0.3324,0.06605,-0.002837,0.1816,0.1624,201
ps3,1,bsth,none,0.08725,0.3324,0.06605,-0.002837,0.1816,0.1624,201
dropweather,1,bsth,none,0.09369,0.2301,0.0718,0.003425,0.1879,0.1615,201
dropprop,1,bsth,none,0.1076,-0.01571,0.08652,-5.553e-05,0.1844,0.1843,201
dropapp,1,bsth,none,0.09992,0.1244,0.07476,-0.02625,0.1582,0.1494,201
loocv-104,1,bsth,none,0.08776,0.3244,0.06693,-0.002191,0.1823,0.1658,201
loocv-202,1,bsth,none,0.09465,0.2143,0.07152,0.01425,0.1987,0.1702,201
loocv-203,1,bsth,none,0.08771,0.3252,0.0661,-0.003401,0.1811,0.1611,201
loocv-204,1,bsth,none,0.08757,0.3274,0.06547,-0.005666,0.1788,0.1612,201
loocv-205,1,bsth,none,0.08848,0.3133,0.06551,-0.01,0.1745,0.152,201
loocv-206,1,bsth,none,0.08758,0.3272,0.06616,-0.002758,0.1817,0.1618,201
loocv-207,1,bsth,none,0.08768,0.3257,0.06659,-0.00283,0.1816,0.1616,201
loocv-208,1,bsth,none,0.08756,0.3276,0.06587,-0.00625,0.1782,0.1581,201
loocv-209,1,bsth,none,0.08762,0.3266,0.06619,-0.00307,0.1814,0.1615,201
loocv-210,1,bsth,none,0.08757,0.3273,0.06611,-0.002972,0.1815,0.1618,201
loocv-212,1,bsth,none,0.09099,0.2738,0.06995,-0.002455,0.182,0.1668,201
loocv-303,1,bsth,none,0.08766,0.3261,0.06617,-0.002984,0.1815,0.1613,201
loocv-304,1,bsth,none,0.08761,0.3268,0.0661,-0.003059,0.1814,0.1617,201
loocv-214,1,bsth,none,0.08761,0.3268,0.064,-0.005821,0.1787,0.1563,201
ps1,1,bsth,none,0.116,-0.1806,0.09507,0.02657,0.2111,0.2118,201
ps2,1,bsth,none,0.0871,0.3347,0.06512,-0.003794,0.1807,0.1658,201
f1,2,bsth,none,0.1242,0.1769,0.07247,-0.02874,0.1667,0.1472,176
f2,2,bsth,none,0.1214,0.2135,0.07659,-0.004951,0.1905,0.172,176
f3,2,bsth,none,0.1212,0.2166,0.07599,-0.006733,0.1887,0.1686,176
f4,2,bsth,none,0.1204,0.2261,0.07514,-0.004761,0.1907,0.1725,176
f5,2,bsth,none,0.1203,0.2275,0.07551,-0.003689,0.1917,0.174,176
f6,2,bsth,none,0.1204,0.2261,0.07174,-0.009865,0.1856,0.1595,176
f7,2,bsth,none,0.1566,-0.3083,0.09961,-0.08769,0.1077,0.1064,176
f8,2,bsth,none,0.1205,0.2257,0.07178,-0.009912,0.1855,0.1594,176
f9,2,bsth,none,0.1204,0.2263,0.07176,-0.009779,0.1856,0.1597,176
f10,2,bsth,none,0.1196,0.237,0.07457,-0.003405,0.192,0.1675,176
f11,2,bsth,none,0.1228,0.1951,0.07652,-0.01465,0.1808,0.1586,176
f12,2,bsth,none,0.1206,0.2243,0.07231,-0.009206,0.1862,0.161,176
f13,2,bsth,none,0.1205,0.2249,0.07199,-0.009815,0.1856,0.1602,176
f14,2,bsth,none,0.1206,0.2244,0.07214,-0.009441,0.186,0.1599,176
f20,2,bsth,none,0.1213,0.2156,0.0737,-0.008192,0.1872,0.1647,176
f21,2,bsth,none,0.1236,0.185,0.08133,0.01541,0.2108,0.1889,176
f22,2,bsth,none,0.1213,0.2149,0.07251,-0.01009,0.1853,0.1585,176
f23,2,bsth,none,0.1223,0.2024,0.07256,-0.01118,0.1842,0.1558,176
f24,2,bsth,none,0.1223,0.2024,0.07256,-0.01119,0.1842,0.1558,176
f25,2,bsth,none,0.1223,0.2022,0.07282,-0.01057,0.1848,0.1588,176
f26,2,bsth,none,0.1224,0.2005,0.07159,-0.01245,0.183,0.1545,176
f27,2,bsth,none,0.1215,0.2129,0.07162,-0.01165,0.1838,0.1557,176
f28,2,bsth,none,0.1212,0.2165,0.07369,-0.007697,0.1877,0.1646,176
f29,2,bsth,none,0.1212,0.2165,0.07369,-0.007703,0.1877,0.1646,176
ps3,2,bsth,none,0.1212,0.2165,0.07369,-0.007703,0.1877,0.1646,176
dropweather,2,bsth,none,0.1276,0.1311,0.07882,-0.004289,0.1911,0.1644,176
dropprop,2,bsth,none,0.136,0.01356,0.09443,-0.01211,0.1833,0.1834,176
dropapp,2,bsth,none,0.133,0.05704,0.07972,-0.0419,0.1535,0.1381,176
loocv-104,2,bsth,none,0.1215,0.2125,0.07441,-0.007417,0.188,0.1667,176
loocv-202,2,bsth,none,0.1271,0.138,0.07927,0.009579,0.205,0.1703,176
loocv-203,2,bsth,none,0.1218,0.2092,0.07355,-0.008882,0.1865,0.1615,176
loocv-204,2,bsth,none,0.1216,0.2106,0.07296,-0.01125,0.1842,0.1615,176
loocv-205,2,bsth,none,0.123,0.193,0.07231,-0.01725,0.1782,0.1522,176
loocv-206,2,bsth,none,0.1216,0.2111,0.07358,-0.008138,0.1873,0.1619,176
loocv-207,2,bsth,none,0.1218,0.2092,0.07412,-0.007999,0.1874,0.1637,176
loocv-208,2,bsth,none,0.1219,0.2079,0.07305,-0.01218,0.1832,0.1583,176
loocv-209,2,bsth,none,0.1217,0.2096,0.07368,-0.008375,0.187,0.1622,176
loocv-210,2,bsth,none,0.1217,0.2103,0.07356,-0.008408,0.187,0.1622,176
loocv-212,2,bsth,none,0.1239,0.1811,0.07762,-0.008386,0.187,0.1676,176
loocv-303,2,bsth,none,0.1217,0.2101,0.07355,-0.008553,0.1869,0.1615,176
loocv-304,2,bsth,none,0.1217,0.2103,0.07358,-0.008454,0.187,0.1623,176
loocv-214,2,bsth,none,0.12,0.2322,0.07215,-0.00733,0.1881,0.1597,176
ps1,2,bsth,none,0.1424,-0.08238,0.1071,0.03124,0.2267,0.221,176
ps2,2,bsth,none,0.1223,0.2015,0.07338,-0.008029,0.1874,0.1667,176
f1,1,ts,none,0.1339,0.4202,0.09141,-0.00487,0.253,0.2443,166
f2,1,ts,none,0.1321,0.4352,0.09486,0.008046,0.2659,0.2524,166
f3,1,ts,none,0.1293,0.4589,0.0933,0.007845,0.2657,0.251,166
f4,1,ts,none,0.1284,0.4669,0.09247,0.008316,0.2662,0.2503,166
f5,1,ts,none,0.1275,0.474,0.09182,0.008287,0.2661,0.2495,166
f6,1,ts,none,0.1287,0.4642,0.09167,0.00957,0.2674,0.2496,166
f7,1,ts,none,0.1267,0.4807,0.08962,0.00697,0.2648,0.2433,166
f8,1,ts,none,0.1286,0.4649,0.09163,0.009575,0.2674,0.2496,166
f9,1,ts,none,0.1287,0.4639,0.09169,0.009563,0.2674,0.2496,166
f10,1,ts,none,0.129,0.4619,0.0927,0.008316,0.2662,0.2484,166
f11,1,ts,none,0.1266,0.4812,0.09074,0.005942,0.2638,0.2402,166
f12,1,ts,none,0.1284,0.4671,0.09093,0.008978,0.2668,0.2493,166
f13,1,ts,none,0.1289,0.4624,0.09115,0.008689,0.2665,0.2553,166
f14,1,ts,none,0.1285,0.4658,0.09082,0.008485,0.2663,0.2512,166
f20,1,ts,none,0.1284,0.4666,0.09171,0.01061,0.2685,0.2526,166
f21,1,ts,none,0.1277,0.4724,0.09019,0.008582,0.2664,0.2547,166
f22,1,ts,none,0.1277,0.4726,0.09123,0.009886,0.2677,0.2523,166
f23,1,ts,none,0.1244,0.4997,0.08959,0.009943,0.2678,0.2472,166
f24,1,ts,none,0.1244,0.4997,0.0896,0.009954,0.2678,0.2472,166
f25,1,ts,none,0.1244,0.4995,0.08949,0.009745,0.2676,0.2473,166
f26,1,ts,none,0.1233,0.5085,0.08808,0.007836,0.2657,0.2531,166
f27,1,ts,none,0.127,0.4786,0.08999,0.009362,0.2672,0.2551,166
f28,1,ts,none,0.1285,0.4663,0.09185,0.01089,0.2687,0.252,166
f29,1,ts,none,0.1285,0.4662,0.09185,0.01087,0.2687,0.252,166
ps3,1,ts,none,0.1285,0.4662,0.09185,0.01087,0.2687,0.252,166
dropweather,1,ts,none,0.1457,0.3134,0.1094,0.01073,0.2686,0.2622,166
dropprop,1,ts,none,0.1648,0.1213,0.1172,0.002397,0.2602,0.258,166
dropapp,1,ts,none,0.147,0.3007,0.1064,-0.05479,0.203,0.1742,166
loocv-104,1,ts,none,0.1264,0.4832,0.09086,0.0105,0.2683,0.2465,166
loocv-202,1,ts,none,0.1293,0.4593,0.09415,0.01943,0.2773,0.2624,166
loocv-203,1,ts,none,0.1262,0.4852,0.09052,0.01052,0.2684,0.2472,166
loocv-204,1,ts,none,0.1258,0.488,0.09084,0.01048,0.2683,0.2477,166
loocv-205,1,ts,none,0.1262,0.4846,0.09077,0.01106,0.2689,0.2476,166
loocv-206,1,ts,none,0.1263,0.4842,0.09058,0.01028,0.2681,0.2468,166
loocv-207,1,ts,none,0.1266,0.4813,0.09086,0.01038,0.2682,0.2464,166
loocv-208,1,ts,none,0.1259,0.4872,0.09096,0.01212,0.27,0.2471,166
loocv-209,1,ts,none,0.1264,0.4829,0.09079,0.01048,0.2683,0.2457,166
loocv-210,1,ts,none,0.1263,0.4844,0.09057,0.0105,0.2683,0.2472,166
loocv-212,1,ts,none,0.1422,0.3462,0.09319,-0.02379,0.2341,0.2219,166
loocv-303,1,ts,none,0.1261,0.4856,0.09058,0.0105,0.2683,0.2461,166
loocv-304,1,ts,none,0.1261,0.4854,0.09058,0.01051,0.2684,0.2467,166
loocv-214,1,ts,none,0.1243,0.5,0.09257,0.01652,0.2744,0.2438,166
ps1,1,ts,none,0.1371,0.3917,0.1047,-0.01132,0.2465,0.2246,166
ps2,1,ts,none,0.127,0.4786,0.09141,-0.00349,0.2544,0.237,166
f1,2,ts,none,0.1368,0.4195,0.09394,-0.003016,0.2556,0.2485,158
f2,2,ts,none,0.1347,0.4368,0.09691,0.01121,0.2698,0.2585,158
f3,2,ts,none,0.1316,0.463,0.09466,0.01161,0.2702,0.2576,158
f4,2,ts,none,0.1303,0.4731,0.0934,0.01249,0.2711,0.2538,158
f5,2,ts,none,0.1295,0.48,0.09275,0.01242,0.271,0.2553,158
f6,2,ts,none,0.1309,0.4683,0.09302,0.01334,0.2719,0.2571,158
f7,2,ts,none,0.2187,-0.4833,0.1537,-0.1451,0.1135,0.1114,158
f8,2,ts,none,0.1308,0.469,0.09297,0.01336,0.272,0.2571,158
