iteration,parameter,value,parset
34,app.mthd.os.f0,-2.62864061642703,3-034
35,app.mthd.os.f0,-3.21648945718863,3-035
36,app.mthd.os.f0,-3.17068798411989,3-036
37,app.mthd.os.f0,-2.79022965544136,3-037
38,app.mthd.os.f0,-3.16312951538609,3-038
39,app.mthd.os.f0,-3.11571654772262,3-039
40,app.mthd.os.f0,-2.9646130241422,3-040
41,app.mthd.os.f0,-2.91664606908694,3-041
42,app.mthd.os.f0,-2.81574457644893,3-042
43,app.mthd.os.f0,-2.2891446992465,3-043
44,app.mthd.os.f0,-1.85421104622223,3-044
45,app.mthd.os.f0,-3.26585526245504,3-045
46,app.mthd.os.f0,-3.27660394255675,3-046
47,app.mthd.os.f0,-2.12033098610994,3-047
48,app.mthd.os.f0,-3.83618345567858,3-048
49,app.mthd.os.f0,-3.58405974367574,3-049
50,app.mthd.os.f0,-3.24371168973686,3-050
51,app.mthd.os.f0,-3.42713422626584,3-051
52,app.mthd.os.f0,-2.86257524970726,3-052
53,app.mthd.os.f0,-2.92738177028926,3-053
54,app.mthd.os.f0,-2.11263203414272,3-054
55,app.mthd.os.f0,-3.4011330775691,3-055
56,app.mthd.os.f0,-2.60041165298995,3-056
57,app.mthd.os.f0,-2.15037161733824,3-057
58,app.mthd.os.f0,-3.04063195817103,3-058
59,app.mthd.os.f0,-2.43363670934621,3-059
60,app.mthd.os.f0,-2.95956310580189,3-060
61,app.mthd.os.f0,-3.58650605006625,3-061
62,app.mthd.os.f0,-2.06888352357904,3-062
63,app.mthd.os.f0,-4.49909330045051,3-063
64,app.mthd.os.f0,-3.53737007106906,3-064
65,app.mthd.os.f0,-3.35424633240821,3-065
66,app.mthd.os.f0,-2.65929302747637,3-066
67,app.mthd.os.f0,-3.04617242710104,3-067
68,app.mthd.os.f0,-3.08620773901395,3-068
69,app.mthd.os.f0,-2.50860119644247,3-069
70,app.mthd.os.f0,-3.64100244228054,3-070
71,app.mthd.os.f0,-2.09865818656443,3-071
72,app.mthd.os.f0,-3.13955357499244,3-072
73,app.mthd.os.f0,-3.63990704067832,3-073
74,app.mthd.os.f0,-3.22504850867141,3-074
75,app.mthd.os.f0,-1.90729209013858,3-075
76,app.mthd.os.f0,-1.58406113611483,3-076
77,app.mthd.os.f0,-2.94190643791503,3-077
78,app.mthd.os.f0,-2.9227188293534,3-078
79,app.mthd.os.f0,-2.98704958152437,3-079
80,app.mthd.os.f0,-3.28161305157984,3-080
81,app.mthd.os.f0,-2.98961654943519,3-081
82,app.mthd.os.f0,-2.707564237008,3-082
83,app.mthd.os.f0,-2.4016607469119,3-083
84,app.mthd.os.f0,-3.2300327805338,3-084
85,app.mthd.os.f0,-3.05568873045238,3-085
86,app.mthd.os.f0,-2.85085304561462,3-086
87,app.mthd.os.f0,-3.2029565266684,3-087
88,app.mthd.os.f0,-2.50977635917063,3-088
89,app.mthd.os.f0,-3.69172919639931,3-089
90,app.mthd.os.f0,-3.22414461136921,3-090
91,app.mthd.os.f0,-3.1206422759092,3-091
92,app.mthd.os.f0,-3.38174048012313,3-092
93,app.mthd.os.f0,-3.0982623776865,3-093
94,app.mthd.os.f0,-3.49057955759774,3-094
95,app.mthd.os.f0,-2.30407080771121,3-095
96,app.mthd.os.f0,-3.18017285472305,3-096
97,app.mthd.os.f0,-3.23689101499034,3-097
98,app.mthd.os.f0,-3.04027078943883,3-098
99,app.mthd.os.f0,-2.96063728386645,3-099
100,app.mthd.os.f0,-4.27229016476901,3-100
1,app.rate.ni.f0,0.00471410409371457,3-001
2,app.rate.ni.f0,-0.0134462108736403,3-002
3,app.rate.ni.f0,0.00162625203369894,3-003
4,app.rate.ni.f0,-0.0150434020597366,3-004
5,app.rate.ni.f0,-0.00829288615167435,3-005
6,app.rate.ni.f0,-0.0262975532676188,3-006
7,app.rate.ni.f0,-0.0124741447537306,3-007
8,app.rate.ni.f0,0.0342583364019589,3-008
9,app.rate.ni.f0,0.0172739841707317,3-009
10,app.rate.ni.f0,6.26260628028158e-05,3-010
11,app.rate.ni.f0,-0.00357240867145608,3-011
12,app.rate.ni.f0,-0.0192339925987759,3-012
13,app.rate.ni.f0,-0.0135616109445904,3-013
14,app.rate.ni.f0,-0.00245015179209464,3-014
15,app.rate.ni.f0,-0.00302156251868449,3-015
16,app.rate.ni.f0,-0.0190710738727561,3-016
17,app.rate.ni.f0,-0.00788969002990308,3-017
18,app.rate.ni.f0,-0.000248197152350057,3-018
19,app.rate.ni.f0,-0.00800040073122876,3-019
20,app.rate.ni.f0,-0.0124988128382617,3-020
21,app.rate.ni.f0,-0.0159561082674999,3-021
22,app.rate.ni.f0,-0.0130050736579496,3-022
23,app.rate.ni.f0,-0.00833450548714313,3-023
24,app.rate.ni.f0,-0.0436904998907329,3-024
25,app.rate.ni.f0,0.0168742194282216,3-025
26,app.rate.ni.f0,-0.0133237554294497,3-026
27,app.rate.ni.f0,-0.00429839831017113,3-027
28,app.rate.ni.f0,-0.0130124971116573,3-028
29,app.rate.ni.f0,-0.0122277189150192,3-029
30,app.rate.ni.f0,-0.0149352251319879,3-030
31,app.rate.ni.f0,-0.000930442450289807,3-031
32,app.rate.ni.f0,-0.00852496335101927,3-032
33,app.rate.ni.f0,-0.0236362373993236,3-033
34,app.rate.ni.f0,-0.0255393496459415,3-034
35,app.rate.ni.f0,-0.00387790353280045,3-035
36,app.rate.ni.f0,-0.00403008534977836,3-036
37,app.rate.ni.f0,-0.01162148272501,3-037
38,app.rate.ni.f0,-0.00471768719374821,3-038
39,app.rate.ni.f0,-0.0192429701669433,3-039
40,app.rate.ni.f0,-0.0188682869806991,3-040
41,app.rate.ni.f0,-0.015139938337784,3-041
42,app.rate.ni.f0,0.0118151250164107,3-042
43,app.rate.ni.f0,-0.027481943766564,3-043
44,app.rate.ni.f0,-5.63246218867243e-05,3-044
45,app.rate.ni.f0,-0.0107931981960251,3-045
46,app.rate.ni.f0,-0.00771455484487533,3-046
47,app.rate.ni.f0,-0.0109693350528887,3-047
48,app.rate.ni.f0,-0.0206486695171381,3-048
49,app.rate.ni.f0,-0.0525616187029863,3-049
50,app.rate.ni.f0,0.00150415039265549,3-050
51,app.rate.ni.f0,-0.00578671861588293,3-051
52,app.rate.ni.f0,0.000981644133069742,3-052
53,app.rate.ni.f0,-0.0187165055397487,3-053
54,app.rate.ni.f0,0.0105712845605635,3-054
55,app.rate.ni.f0,-0.0484207623194068,3-055
56,app.rate.ni.f0,-0.0211125137805772,3-056
57,app.rate.ni.f0,-0.00219133453204683,3-057
58,app.rate.ni.f0,-0.0184606301229065,3-058
59,app.rate.ni.f0,-0.0247978781303944,3-059
