app.mthd.nm,n,pars,rmse,me,mae,mbe
Broadcast,222,CV,0.193440592449754,0.463027752818332,0.147519548682616,-0.0378601421364983
Trailing hose,205,CV,0.103365379489365,0.224760646350557,0.0789955764230309,0.00568149398258249
Trailing shoe,163,CV,0.149610210522528,0.276850988592401,0.104381887509721,-0.00326847481087816
Open slot injection,119,CV,0.140275220499824,-1.28306403526179,0.114583101194297,0.0803397711925255
Closed slot injection,13,CV,0.0695319525981682,-0.418507775296818,0.0636357639510279,-0.0216487901485104
