parameter,mn,md,se,l90,u90,min,max
int.f0,0.498181581451398,0.536729686376068,0.352462622171442,-0.00990639078924102,0.916637018384737,-0.570459315545093,1.0173731191092
app.mthd.os.f0,-2.9763554989018,-3.08083087832496,0.350179995155426,-3.307729234563,-2.41684663535814,-3.32381030337579,-1.93827783908631
app.rate.ni.f0,-0.0107380104311268,-0.0106428511482827,0.00350969600039219,-0.0163119412828309,-0.00509105433899828,-0.0180525726911229,-0.00388658436056486
man.dm.f0,0.457733560497789,0.464458738047123,0.0963831728887638,0.34460009565125,0.534343684900332,0.144549534776407,0.573531408033656
man.source.pig.f0,-0.928763952228899,-0.923404911382466,0.194286509784601,-1.18963519988552,-0.671044945531844,-1.23220365852833,-0.3782214270975
app.mthd.cs.f0,-4.99824888546401,-4.99866634018721,0.00130258052194432,-4.99965917597914,-4.99607359095377,-5,-4.99585596331391
int.r1,-1.51566120825846,-1.5403531628202,0.1408977139627,-1.6643824827833,-1.2689534705915,-1.82067901186561,-1.19027553986077
app.mthd.bc.r1,0.679062114191521,0.715807625252404,0.136416601557275,0.473831829423066,0.801089833893598,0.273788957821584,0.880029041296978
man.dm.r1,-0.0397132389264535,-0.0374993937741436,0.0454959015640605,-0.11461277078791,0.0114326657953564,-0.120147881495019,0.0820017715524569
air.temp.r1,0.0394367060350849,0.0372572962744438,0.00818670320043428,0.0314205336658499,0.0559682947437543,0.0299557272972746,0.0619009348775055
wind.sqrt.r1,0.594582634171004,0.573270842007493,0.100674505797429,0.535603174647484,0.723544797837991,0.514692899033248,0.936618368166676
app.mthd.ts.r1,-0.143780015954932,-0.131858020187081,0.05164826818982,-0.229874170011383,-0.0971504947553546,-0.290332555087002,-0.0629978386076512
man.ph.r1,0.495189008690427,0.494802487295176,0.106759069836499,0.351509144153363,0.628201646448474,0.232151668632003,0.752115258410487
int.r2,-1.39221865777933,-1.39500979504472,0.139701669880953,-1.59289614804644,-1.14684106651871,-1.67741077900189,-1.11245801784944
rain.rate.r2,0.70765820682145,0.742000359864903,0.157995309224735,0.433987413012467,0.860251760054911,0.222023446955659,0.872195752983926
int.r3,-2.73934957867549,-2.73174261491819,0.046324488037215,-2.81380661158269,-2.68793197109881,-2.879916526641,-2.68413857503586
app.mthd.bc.r3,0.283399781527444,0.243576589918285,0.127333291794808,0.173554944382536,0.519643017176415,0.11001776036177,0.609714615554419
app.mthd.cs.r3,-0.0912578122090848,-0.0935828743676365,0.0357477611974781,-0.145025834470351,-0.0212376365674076,-0.146084910118747,-0.0171065457404138
man.ph.r3,0.0614487765698697,0.0462784264002106,0.0639258224324427,0.00766749171617502,0.17399728031539,-0.0349788624946187,0.247931888299371
incorp.shallow.f4,-1.50200507303216,-1.56852559243168,0.21104635694802,-1.733569314913,-1.12479599120196,-1.76681902045748,-0.982186536474146
incorp.shallow.r3,-0.0531807162375696,0,0.123655654195281,-0.325151884639173,0,-0.38942037273951,0
incorp.deep.f4,-2.20388095577516,-2.19265228898213,0.0594863196456269,-2.29913461107607,-2.14275715793613,-2.34574855024325,-2.11601514664478
incorp.deep.r3,-2,-2,0,-2,-2,-2,-2
rain.rate.r5,0.0187092549728891,-0.0416102229765302,0.365147123263166,-0.43619885559159,0.613432464020754,-0.474913306729533,1
int.r5,-1.8,-1.8,0,-1.8,-1.8,-1.8,-1.8
