variable,n,min,max,mean,q10,q90,b3,a3
man.dm,722,0.8,13.8,6.2,2.4,9.1,1,13.6
man.ph,677,4.3,8.9,7.4,6.8,8.1,5.6,8.5
man.tan,722,0.6,6.4,2.3,1.1,4.1,0.6,6.3
app.rate,722,6.6,132.6,30.4,14.4,48.9,8.4,123.3
tan.app,722,10.9,235.4,64.1,27.6,115.6,13,196
wind.2m.24,722,0.6,9.7,3.1,1.3,5.3,0.6,9.7
air.temp.24,722,-1,28.9,13.2,6.8,19.7,1.7,27.8
rain.1,471,0,2.4,0.1,0,0,0,2.4
