pars,int.f0,int.r1,int.r2,int.r3,int.r5,app.mthd.os.f0,app.mthd.cs.f0,app.mthd.bc.r1,app.mthd.ts.r1,app.mthd.bc.r3,app.mthd.cs.r3,man.dm.f0,man.dm.r1,app.rate.ni.f0,man.source.pig.f0,air.temp.r1,wind.2m.r1,rain.rate.r2,rain.rate.r5,wind.2m.r3,air.temp.r3,incorp.shallow.f4,incorp.shallow.r3,incorp.deep.f4,incorp.deep.r3,man.ph.r1,man.ph.r3,air.temp.ave.r1,air.temp.ave.r3,app.mthd.cs.r5,app.rate.f0,app.mthd.os.r3,rain.cum.r3,ts.cereal.hght.r1
nullA,-2.06958220554494,-0.611507214791526,-1.26535814880678,-2.52971920810775,-1.79927303736307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nullB,0.106336630434772,-1.43092556779192,-0.621127598008691,-2.81939901504907,-1.88078450057244,-0.480120016236631,-7.54890773080645,0.857319396916838,0.210441386546722,0.652723752245839,-5.67083557526333,,,,,,,,,,,,,,,,,,,,,,,
nullC,-0.0734796941256575,-1.29181259031899,-0.647905063536075,-2.43858613799362,-1.66851073719184,-2.2659600512872,-5.27784447006291,0.84108462309727,0.010950507402482,0.34097183986554,-5.27770591020772,0.556058469173428,0.00445887561752924,,,,,,,,,,,,,,,,,,,,,
a,0.228730652519557,-1.15740718987872,-1.26377816288497,-3.4237498679038,-2.79681181984676,-1.73808849462219,-7.36712333493994,0.739596445071009,-0.0201091732272732,0.23180290414625,-0.422475454785011,0.432252969347396,-0.102530850854363,-0.0265182527520471,-1.82045551146984,0.0113714883562019,0.0633330206974819,0.52288892385059,0.623642495519457,0.100527391175213,0.0492960410943911,,,,,,,,,,,,,
b,-0.241053966008854,-0.980560809787551,-1.74638312230778,-3.25728647165425,-2.59290768487649,-1.79587564376907,-7.51931847705935,0.764520434324243,-0.521313833681921,0.47254733460511,-0.527546463248623,0.531611869763656,-0.257402519007777,-0.0161576393244229,-0.607324528574092,0.0229181124660333,0.133715514941403,0.473762121638209,0.493954773885152,0.143911331081187,0.030977242689276,,,,,,,,,,,,,
c,-0.312117048745732,-1.07702531411007,-1.74934228253418,-3.13379012691987,-1.90686658572548,-1.61822560008453,-8.38645097447386,0.789625878711673,-0.450968065782889,0.522236419608735,0.317403429556095,0.532514264488073,-0.233461739132694,-0.0135671630359185,-1.01265465931663,0.0248049144047727,0.18234826666844,1.49266257966571,-0.00799288446669681,,0.0091640354964081,,,,,,,,,,,,,
d,-0.135584706617204,-1.16214402784877,-1.7913336747216,-3.12671850349078,-1.68843376653261,-1.94978175430844,-6.06045968956783,0.7315563826072,-0.415350122602508,0.626793459665047,0.376728538887462,0.509543762704966,-0.192084852205892,-0.0163031867138528,-1.29233257029065,0.0207178159956206,0.133616221119634,0.406614351673604,-0.264010396307202,,0.0102609606179043,,,,,,,,,,,,,
i1,-0.423743073955986,-1.14582496968013,-1.20572205897379,-2.72344878240077,-1.96884042912114,-1.96952281373663,-8.06591402744609,0.888885407793697,-0.198039958019817,0.657028484302329,-0.552361425872712,0.396177497951129,-0.204941048367819,-0.0182766938854404,-1.22110373667468,0.046798929128821,0.254530412060642,1.15552057238972,0.498167029277374,,0.0258043361955655,-0.520186057165941,-0.799652435899629,-3.34442609105009,-1.31911987115055,,,,,,,,,
i2,-0.180929405886751,-1.29890466177541,-1.51704432305489,-2.96167327694797,-2.05342826118515,-1.72631649835937,-8.6548305741695,1.0820500802278,-0.16936492884922,0.848976319331584,0.100983716614616,0.351647591904268,-0.200521928042819,-0.0236547247449623,-0.975038815139293,0.0617449806999053,0.208846289310566,0.291647337365445,0.711812558422667,,,-2.24185234592485,-0.832443454762004,-1.92166280632054,-0.91162091805396,,,,,,,,,
p1,-0.0969117308137345,-0.944120888016377,-1.48675848028094,-2.57803134640424,-1.7830790714899,-2.83546368106153,-7.93663640217809,0.952128962950508,-0.374837473935377,0.502164884058937,-0.198618736653256,0.425891602339618,-0.230469126367839,-0.0289186674413651,-1.16062557449812,0.0629481119630021,0.310959192680431,0.443814506161933,0.634232145935689,,0.0262202288342093,-0.163605553219958,-0.619099762830798,-2.99125042827399,-1.00130815257685,0.910128811066185,0.0878288908173982,,,,,,,
p2,0.269671158908532,-1.18681625516618,-1.28720734775512,-2.88198955727479,-2.01115894453821,-2.44142246175196,-8.49793712373421,0.650223728744808,-0.264847545100985,0.594108547060504,-0.0266118977301477,0.494909354101074,-0.135556911165402,-0.0210378718294666,-1.07370260949516,0.0591713055125588,0.18814155289154,0.120883196851484,1.23218922974833,,,-1.82455149068189,-1.11794203707091,-1.85153927404287,-0.693758284220262,0.548326351733645,0.153924514420271,,,,,,,
p1a,0.293570653405363,-1.23577184282365,-1.59433413671023,-2.41376134114598,-1.64254638385441,-3.50905414995605,-4.1538091788979,1.19367939746516,-0.294421614516712,0.479690680967103,-0.627011897676439,0.319405393326841,-0.183876897816578,-0.0377185646557005,-1.20581488358795,0.0737035059203901,0.412094011551369,0.484053712843369,0.569235212279533,,0.0248903054582498,-1.75403043016585,-1.83933455680741,-12.5659779289111,-3.10809489740709,1.43612367262046,0.00456535318709192,,,,,,,
p1b,0.223409972920439,-0.912239915858933,-1.53592464953689,-2.56649138792805,-1.75314213292083,-2.91677949056045,-3.81231747497285,0.950472986248465,-0.467012983809945,0.543488313136774,-0.317070752474196,0.319873408711317,-0.209207380527602,-0.0339836719608394,-1.13290309240341,0.0722464432896328,0.380503158843637,0.684703373060996,0.626419305002789,,0.0266331079123539,-4.45484276054619,-0.989991703987168,-2.99125042827399,-1.42187880974995,1.23527550597284,0.0521573975495986,,,,,,,
p1c,0.0492971159555829,-0.983607933766417,-1.80081637963717,-2.41737903826296,-1.61161864630636,-3.08085624167854,-4.06610615658558,1.1350178443427,-0.683991397576442,0.553294294275905,-0.329473000161461,0.319319081130359,-0.244280088898077,-0.0325536602475062,-1.24265227727016,0.110171121708989,0.547530289178987,0.91817635505708,0.541531741416888,,0.0223988845117691,-4,-1.06749317474495,-4,-1.74847460955012,1.73172625839119,0.0294226374448515,,,,,,,
p1d,0.064329613773565,-0.98858647001185,-1.76947209706784,-2.41502120810631,-1.60877059885358,-3.07067887925744,-4.11472042147336,1.13815432676545,-0.660622459939431,0.548891732295957,-0.31635890384114,0.316065039265547,-0.240799809872053,-0.0327431154428903,-1.24525550829966,0.10458876512219,0.532512168187204,0.914176975731059,0.547111559855934,,0.0224135512332762,-4,-1.04013397665974,-4,-1.66473408795287,1.7089814071723,0.0278477846738071,0.00145105183826172,,,,,,
p1e,0.102739122603139,-1.04023960262311,-1.72493695188846,-2.39454356796896,-1.63402095036149,-3.08659649104029,-3.81732839138549,1.11778365085067,-0.558633653342487,0.542061064808579,-0.316269895617265,0.31270731342419,-0.220289492209776,-0.0323998061729737,-1.23385525700641,0.0949314430421921,0.486629774533947,0.794637332718884,0.56732391743322,,0.0269698221575868,-4,-1.21746966456505,-4,-1.77838678370551,1.55598963237234,0.0257553728173944,,-0.00381151810862067,,,,,
p2a,0.36418751287003,-1.1853083860083,-1.38088151836672,-2.88615252601415,-2.00740265494345,-2.34948193229633,-8.34829483989306,0.80042074496035,-0.199386733103696,0.594073070487579,0.0176752041367333,0.33318373353243,-0.132696228298478,-0.0231191913962535,-1.21073407229969,0.0611075850108762,0.188231456302031,0.249808137493022,1.22237227701055,,,-1.85205126434169,-0.946420974763946,-1.89336556826361,-0.836869143387321,0.553631095585439,0.0841636212483208,,,,,,,
p2b,0.207754306753785,-1.26574913433779,-1.696719533967,-2.42478409509361,-1.60054200887364,-2.87949228186009,-8.2277957853828,1.25882678197739,-0.539160647923362,0.549553984528782,1.66395905066846,0.292387374136941,-0.194527754450843,-0.0332944430341136,-1.29603941889238,0.125958658152166,0.556076340904774,0.519142234885456,0.798533766733551,,,5.16858281610844,-1.93658802009983,-2.59580350602982,-3.23283849736958,1.83168200494165,-0.00392520183926262,,,2.12808507603157,,,,
p2c,0.359635583930873,-1.33521491882827,-1.71648747316372,-2.39758635654059,-1.58239519671965,-3.03542006493411,-7.62243381619873,1.30451582776529,-0.528529176002959,0.529730349189496,-0.286113869488443,0.27932677768893,-0.187530536187575,-0.0380217550965449,-1.3066602921453,0.131918193525372,0.562003707753333,0.529044485011185,0.842151375631526,,,5.43880002957758,-1.27030425528878,-0.708871949873551,-1.72181197953686,1.8957351601079,-0.0137096034780646,,,0,,,,
ps1,-0.7364889,-1.1785848,-0.9543731,-2.9012937,,-1.1717859,,0.6283396,,,,0.407466,-0.075822,,,0.0492777,0.0486651,0.4327281,,,0.0152419,-0.4121023,,-3.6477259,-0.3838862,0.5327231,0.2663616,,,,-0.0134681,-0.122883,-0.0300936,
ps2,-0.605683377135473,-0.939215157554942,-1.79918545831297,-3.22841225187594,,-1.74351499199106,-7.63373787323506,0.793524800080501,-0.459071351818907,0.561539558429444,-0.666474172842208,0.399670699937794,-0.139881887708132,-0.0111490009460872,-0.592028581423498,0.0735426766754151,0.150267203970342,0.394021556916743,,,,-0.964966548279922,-0.580526893811793,-3.6949495394145,-1.2656956200405,0.665,0.238,,,,,,,-0.244712378321887
