iteration,int.f0,app.mthd.os.f0,man.dm.f0,man.source.pig.f0,int.r1,app.mthd.bc.r1,man.dm.r1,air.temp.r1,wind.sqrt.r1,app.mthd.ts.r1,man.ph.r1,int.r2,rain.rate.r2,int.r3,man.ph.r3,rain.rate.r5,int.r5,app.mthd.cs.f0,app.mthd.cs.r3,incorp.shallow.f4,incorp.deep.f4,incorp.deep.r3
1,0.401545589405527,-0.957252741005656,0.630042693701203,-0.147531214060247,-1.58320845887926,0.277496189461396,-0.0731496720622094,0.0434080153821723,0.415800269679931,-0.0678500396982583,0.596034604202597,-1.48118874211386,0.648264252106572,-2.96301059401282,0.0425891714934247,-0.968650971185104,-1.8,-5.04911758713872,-0.220791393834595,-1.2820345683836,-23.9732156019704,-5.85566674307268
2,1.4896882672233,-2.70864426664858,0.0198040338044374,-0.756216601720161,-1.52360450139249,0.602119771571239,0.0646642267527268,0.0329288741745907,0.491270143381524,-0.263241995544998,0.13795125296327,-1.12059223400712,1.02145202823767,-2.96674387521431,0.185016565196293,-4.52174662148094,-1.8,-7.36755091202445,-0.0251040846532215,-1.2820345683836,-23.9732156019704,-5.85566674307268
3,0.67860055790463,-1.73643376169833,0.559334500334436,-0.162513263571994,-1.43237909696621,0.224155539636263,-0.034727394281841,0.0391554817431355,0.394841128480185,-0.126678035398942,0.437650368589478,-1.29188847799882,0.497675436203304,-2.89253775298858,0.132999266529116,1.34278773129582,-1.8,-7.07574946821307,-0.0965597888927068,-1.2820345683836,-23.9732156019704,-5.85566674307268
4,1.03851661134722,-1.3135264735064,0.634511612981464,-0.710217268613089,-1.60914848084196,0.306199314647296,-0.0291784337778978,0.0381092974096471,0.457295571710827,-0.0609154588550264,0.50831644304897,-1.29017114236343,0.643274526623072,-2.90469200647703,0.216449909612208,-0.0783892754848792,-1.8,-5.04911758713872,-0.220791393834595,-1.2820345683836,-23.9732156019704,-5.85566674307268
5,0.920117217389648,-2.78074829430559,0.157814528167517,-0.857202824125433,-1.55622542239037,0.419693711598306,0.0577149978705826,0.0364103140342472,0.684085496694357,-0.43241992336428,0.237964843733656,-1.33271032959586,0.731937262286813,-2.81393795790231,0.153154996035347,1.1326828591202,-1.8,-11.34635143635,-0.221609520853891,-1.2820345683836,-23.9732156019704,-5.85566674307268
6,1.00159218232078,-2.98404880782176,0.22690808996202,-0.691573665906946,-1.36381670109358,0.435889929620258,0.0290204592294729,0.032792247631854,0.523287854826906,-0.305844574408812,0.183385603100059,-1.09300656316085,0.68009887237827,-2.87781132568249,0.334781023496957,1.39755358995032,-1.8,-3.22864835707425,-0.113461235431096,-1.2820345683836,-23.9732156019704,-5.85566674307268
7,0.50605744614668,-0.746453726668996,0.489570434565732,-1.14430341859779,-1.99240209224757,0.881167751880279,-0.00227159951761329,0.0435644680831991,0.681581363790435,0.0881652051870973,0.684723207190393,-1.53587110386759,0.809662556421896,-2.7896305381578,0.0650919020318589,-0.530936743884198,-1.8,-5.04911758713872,-0.220791393834595,-1.2820345683836,-23.9732156019704,-5.85566674307268
8,0.430551061747602,-2.65965953134662,0.464779087191177,-0.733931978520513,-1.5137874945486,0.752715933772224,-0.0460282563797158,0.0327529069779219,0.475546192776268,-0.161748003051138,0.161200305442375,-1.24392830817519,0.67932810418147,-2.80006742396081,0.256740248874313,0.220543970388374,-1.8,-4.48487996919853,-0.223941740383176,-1.2820345683836,-23.9732156019704,-5.85566674307268
9,-0.287488955311728,-1.93080266933467,0.553328948590187,-0.535640945937437,-1.50276948809971,0.701608110466639,-0.159177933541589,0.0481448672258992,0.633088223478294,-0.128647298058142,0.414067615975651,-1.52855014543151,1.79996655609776,-2.70460757712934,0.197354549588172,-0.499932515013672,-1.8,-5.37145951853832,-0.324850802405931,-1.2820345683836,-23.9732156019704,-5.85566674307268
10,0.950363489800799,-3.74486965708026,0.582363558395234,-1.06399067083706,-1.64579949011253,0.427819641397659,-0.04708396023915,0.0374245169324307,0.425055004800391,-0.0101749033706975,0.477398144709071,-1.38478954881209,0.661227293761487,-3.01930963055712,0.433971981128307,-0.0913883189749141,-1.8,-5.04911758713872,-0.220791393834595,-1.2820345683836,-23.9732156019704,-5.85566674307268
