app.mthd,man.source,n,er10,er90,ermed,ererr,rerr
bc,pig,58,0.152997079554465,0.479293476765034,0.354836352332829,0.207132832921301,0.953733615792224
bsth,pig,93,0.0989293892574107,0.185047246969132,0.142588722316986,0.0661426209751061,0.539762159290633
bsth,cat,85,0.0471438839312871,0.456949573026193,0.19312703040639,0.0975336370688223,0.641959000869491
cs,cat,3,0.0400066332981692,0.0621549989983649,0.054096141064334,0.0372573703009449,11.7396364430824
os,cat,77,0.110281147321313,0.202137297967807,0.139662005476879,0.0974220602896486,1.2306578481382
cs,pig,12,0.0400563193089308,0.0416515505222398,0.0402489253327688,0.041267591133647,4.99491541946583
os,pig,8,0.108452041168142,0.429207609570984,0.109034634449497,0.10797560518781,1.53333809338684
bc,cat,126,0.350337211697072,0.76096858033696,0.556812129005757,0.182767899674842,0.575216268986964
ts,cat,94,0.151696396043834,0.383119631061013,0.233447760165507,0.122495196215775,0.55497108961809
ts,pig,3,0.21351554981065,0.260100907339073,0.254603126063109,0.0914102941141631,0.732200106952873
bsth,other,8,0.0904671284916572,0.320894201553506,0.162015219884819,0.0744518626096911,0.382573512289283
bsth,mix,3,0.203682253573526,0.303919968838483,0.294128915809542,0.0778739239094488,0.192117242096148
