parameter,mn,md,se,l90,u90
int.f0,0.174936130465458,0.124993160337591,0.315553950168161,-0.221700166154874,0.638740116729431
app.mthd.os.f0,-2.88141120875838,-2.73883698558958,0.70564941255917,-3.82413231301924,-1.98263376130992
app.rate.ni.f0,-0.0367279539282457,-0.0385748990330716,0.00751829470745654,-0.0462393541848123,-0.0250935043604755
man.dm.f0,0.353059055712969,0.399954685087579,0.202960913791539,0.070336339591618,0.589232857625033
man.source.pig.f0,-1.56338838965593,-1.76079332179812,0.742181598308178,-2.45762833869749,-0.409290007922261
app.mthd.cs.f0,-5.42850402831254,-5.16703080981064,1.56341568968781,-7.78403113619603,-3.06030766120477
int.r1,-0.968149568670404,-0.914315684618429,0.185585162969073,-1.33986041068446,-0.777319207148225
app.mthd.bc.r1,0.749555303204499,0.728925109995284,0.306876142053648,0.335610020316258,1.18233077288025
man.dm.r1,-0.152516188618234,-0.175713239870666,0.062557520055461,-0.225142159448301,-0.0365605597691585
air.temp.r1,0.0589416180313315,0.0533077403629175,0.0192737218446006,0.0381016703306438,0.0933013488940974
wind.2m.r1,0.227189715497815,0.207173477431708,0.102598274012476,0.106890982558092,0.384668637056161
app.mthd.ts.r1,-0.370292215109409,-0.374690108764057,0.174319389508989,-0.597876018379366,-0.135713107866324
int.r2,-1.42626385926648,-1.32283017987186,0.370157599107389,-2.10190656836905,-1.02938901684113
rain.rate.r2,0.298242095041457,0.372284082837161,0.459545379477738,-0.501629782257068,0.875908246299193
int.r3,-2.51677538494448,-2.54821674705708,0.258732311369365,-2.80040035577931,-2.0614117585805
app.mthd.bc.r3,0.760356678937435,0.80841786347283,0.263090982748287,0.361707764625971,1.0872408336464
app.mthd.cs.r3,-0.642884576315715,-0.321375888462349,0.597371955036864,-1.72050464880835,-0.141064862831895
int.r5,-1.6182238188269,-1.60922524865948,0.308483314426289,-2.02035173694644,-1.15646085123501
rain.rate.r5,0.656648533349316,0.541693602036688,0.41950160274194,0.105589206212691,1.2571152944426
air.temp.r3,0.0237797739810665,0.01964322224395,0.0112437405730006,0.011274927247207,0.049341871698139
incorp.shallow.f4,-0.635818954306152,-1.99580717456443,3.53858450217659,-4.60526770162374,4.18580148044714
incorp.shallow.r3,-0.852383800402351,-0.771108948022738,0.22331718970722,-1.2984076260274,-0.637382830349376
incorp.deep.f4,-3.74510473649115,-4.15753702936369,2.32180891380993,-6.69694110305847,-0.0274198977486085
incorp.deep.r3,-2.91784384152454,-2.15966381612733,2.19496244246425,-6.44025443554605,-1.14142905298777
man.ph.r1,0.612163429984166,0.597870019167285,0.210460845030132,0.338372032246551,0.957761545379216
man.ph.r3,0.207487788080665,0.190152332799176,0.148641140461859,0.0011148053178669,0.442522522297733
