inst.dropped,int.f0,app.mthd.os.f0,app.rate.ni.f0,man.dm.f0,man.source.pig.f0,app.mthd.cs.f0,int.r1,app.mthd.bc.r1,man.dm.r1,air.temp.r1,wind.sqrt.r1,app.mthd.ts.r1,man.ph.r1,int.r2,rain.rate.r2,int.r3,app.mthd.bc.r3,app.mthd.cs.r3,man.ph.r3,incorp.shallow.f4,incorp.shallow.r3,incorp.deep.f4,incorp.deep.r3,rain.rate.r5,int.r5
104,4,-2.70480326376161,-0.210312801600289,0.967007067849901,1,-5,-1.18449809611874,-0.0961095762583845,-0.577345844820858,0.2,-0.296791300352837,-0.113185417378998,-1,-3,1,-2.61669763379767,0.0207804195340227,-0.0797522893169919,-0.0672816581175736,-1.52044300586066,0,-2.11601514664478,-2,0.699536246352631,-1.8
202,0.949418118751653,-2.70480326376161,-0.0252050527382472,2,-0.947779816908473,-5,-3,0.622637134748561,-0.28908737323286,0.102330912930592,1.86311439153034,1,1,-1.38234140824963,1,-2.58204435668645,0.211600430188921,-0.0797522893169919,0.0185701040328417,-1.52044300586066,0,-2.11601514664478,-2,-0.671070380890901,-1.8
203,0.241774168341318,-2.70480326376161,0.0276034026001561,0.434434441801671,-0.864741325282276,-5,-1.58450704756381,0.285444186284388,-0.999998201407138,-0.0113530460062238,-0.608060772588624,-0.113185417378998,0.208330779561841,-0.710070748765678,0.569539431996303,-2.70817413031134,-0.0250868438287434,-0.0797522893169919,0.984407740010569,-1.52044300586066,0,-2.11601514664478,-2,0.0448914773886676,-1.8
204,3.6918137258734,-5,-0.108424825172731,0.556962597114676,-1.08301477283672,-5,-1.35020952005609,0.622637134748561,-0.824152680731767,0.2,2,-0.113185417378998,-0.447523030361157,-3,-0.338786453972743,-3.29632370632395,0.211600430188921,-0.0797522893169919,1,-1.52044300586066,0,-2.11601514664478,-2,1,-1.8
205,-2,0.213788013922736,0.423203770219391,2,-3,-4.99871087229712,-1.60890884325786,0.622637134748561,-0.0452001334713442,0.0560574326932749,0.533781857828656,-0.113185417378998,0.360921622907121,-1.18583587755115,0.791438125536262,-2.86840311836315,0.211600430188921,-0.00798342763372937,0.200912411605757,-1.52044300586066,0,-2.11601514664478,-2,1,-1.8
206,-0.749909207705849,-2.70480326376161,0.0312864578814565,0.0572830263915516,-0.864741325282276,-5,-1.45862795780598,0.622637134748561,-0.0506627534818139,0.00317020541740514,0.162404750508776,-0.113185417378998,1,-0.934469368211653,1,-2.92981818122573,0.211600430188921,-0.0797522893169919,-1,-1.52044300586066,0,-2.11601514664478,-2,-0.838828662524518,-1.8
207,2.03596530583804,-2.55063776556317,-0.000111230457202086,1.19923397564413,-1.5080368850619,-5,-1.19370637610817,0.269009206571136,-0.184243020530632,0.0385104301774792,0.195833119106292,-0.110340384836385,0.0126814164780866,-0.47536196955773,0.239165033855307,-2.91037701025143,0.475224726361211,-0.0797522893169919,0.607137904445187,-1.52044300586066,0,-2.11601514664478,-2,-0.714084138815996,-1.8
208,0.471019488492439,-2.70480326376161,-0.0081845518013779,0.891587044358905,-0.864741325282276,-5,-0.922819518319305,1,-0.335307404126943,0.00332503456772291,2,-2,0.275568561212586,-1.15309101674355,0.980505898485769,-2.60671741110714,-1,-0.0797522893169919,0.225085130421069,-3.2536906697038,0,-2.11601514664478,-2,1,-1.8
209,0.49303862456869,-2.70480326376161,-0.499999999997934,0.393154607371502,-0.864741325282276,-5,-1.25619707247316,0.613754161373014,-0.0417402543918834,-0.0427109742256815,0.442591064294053,-0.113185417378998,0.393212311252615,-1.0745421080377,0.569539419972544,-2.22495600545141,0.458131281036861,-0.0797522893169919,-0.310972264288439,-1.52044111577225,-1.16386315532237,-2.11601514664478,-2,-0.801183320283438,-1.8
210,0.538509459330751,-2.70480326376161,0.5,0.537705338367912,-0.864741325282276,-5,-1.64004834489036,0.229902888954501,0.2,0.0379132926585859,1.01683112244504,-0.113185417378998,0.688033027987355,-1.11871649143462,0.799321562292526,-3.33746294667497,-0.654375660191476,-0.0797522893169919,-0.271230811215838,-1.52044300586066,0,-2.11601514664478,-2,-1,-1.8
212,-2,-2.70480326376161,0.117364649061352,0.452383841704015,-3,-5,-1.08819722967631,-1,0.0470669590374892,-0.00776193007523928,-1,-1.06766421540568,1,-1.54139135101971,-1,-2.84093128685667,0.347516703835261,-0.0797522893169919,0.140906262988337,-1.52044300586066,0,-2.11601514664478,-2,1,-1.8
303,0.524816603334194,-2.70480326376161,0.499999999517206,0.414314973344768,-0.864741325282276,-5,-1.54753388506712,0.322417348779833,-0.175820173779293,0.0217866117171867,0.35609146622156,-0.113185417378998,0.141536724120373,-1.26645583579588,0.569540727146747,-2.58700537974321,0.0960819067483244,-0.0797522893169919,-0.0314865858087049,0,-0.0571493407988883,-2.11601514664478,-2,0.122923204055741,-1.8
304,0.517701360190027,-2.70480326376161,0.5,0.400505072707959,-0.864741325282276,-5,-2.1061638846942,-0.236212650848005,-0.080218906463075,0.0643033578940407,-0.0368169226489259,-0.113185417378998,-0.0931436086228991,-1.35982697702222,0.569539419572835,-2.14876535060094,0.534321935881419,-0.0797522893169919,0.991443653922443,-1.52044300586066,0,-2.11601514664478,-2,0.115140242502224,-1.8
214,1.72712249822802,-1.01327711679185,0.0420833566454961,-0.21691602879685,-0.673606721624395,-5,-2.03024802112915,1,0.0868086367651103,0.0262825031091238,0.358267084041523,0.146157575751257,-0.0370886380123152,-1.1643408304998,0.569539419572835,-3.30138334805606,-0.49489363512064,-0.0797522893169919,0.672916828891686,-1.07160371739098,0,-4.99467307505142,-1.99978742230446,0.115140242502224,-1.8
