app.mthd,incorp,man.source,n,ererr,aererr,arerr,ererrse,ersd
bc,none,FALSE,126,-0.0163370338888938,0.154412259523182,0.31060813047575,0.22226043305487,0.244615351189239
bc,shallow,FALSE,13,0.147247642157514,0.191039228994961,0.73593697815931,0.18844002756602,0.198307398157313
bc,deep,FALSE,1,0.0637049816708432,0.0637049816708432,1.04454944695421,,
bc,none,TRUE,40,0.0403669516930175,0.166519001465218,0.334747271505896,0.229337851060585,0.246931466076546
bc,shallow,TRUE,39,0.0495661216675277,0.0722838973860032,0.399857400412649,0.106126892768313,0.0820900188344656
bc,deep,TRUE,3,-0.0094288958617755,0.0094288958617755,0.635241922911507,0.0155823958782578,0.015912762810189
bsth,none,FALSE,108,-0.0221960064364324,0.0707564933908268,0.371636062409507,0.112170319723484,0.115304721182495
bsth,shallow,FALSE,4,-0.00141022935895172,0.135904187716729,0.232420685292331,0.251982519014636,0.381252324893786
bsth,none,TRUE,93,0.0139869440398314,0.0387360779370993,0.30988446039459,0.0948928197178887,0.0864197109236158
cs,none,TRUE,9,-0.019303675643241,0.0245200593509788,0.294932032896856,0.0681885987526899,0.068271940311237
os,none,FALSE,105,0.086520102009396,0.103930403570106,0.84436242664184,0.11227418917816,0.0972093007228698
os,none,TRUE,26,0.110477007252249,0.124938046705595,0.991123889473036,0.136284342751063,0.0782340814719912
ts,none,FALSE,156,0.0059664077525301,0.0758366553462892,0.319138906079255,0.151923828522578,0.180589610237999
ts,shallow,TRUE,1,-0.23159064143129,0.23159064143129,0.638465639542608,,
ts,none,TRUE,10,0.0588707324346861,0.101583616294435,0.517772547853207,0.132147493436355,0.0846336497565307
