parameter,mn,md,se,l90,u90
int.f0,0.523062345198242,0.548749642196368,0.509146633252608,-0.2775195106813,1.34901825138006
app.mthd.os.f0,-2.57941631959865,-2.81836084806927,0.664643170315942,-3.36064717983201,-1.31820031731044
man.dm.f0,0.539085328673124,0.527615907951423,0.146018583333604,0.3517578164072,0.721357994056545
man.source.pig.f0,-0.78349127140444,-0.893557162597036,0.341030995076317,-1.17560551390445,-0.078406096170975
app.mthd.cs.f0,-7.14734866918894,-6.76775712550676,2.56947774623982,-12.2976571780998,-4.06509442394932
int.r1,-1.54722089501412,-1.51345669927438,0.167851856487914,-1.91865146238032,-1.3522313389602
app.mthd.bc.r1,0.657425741380621,0.73498806104972,0.279822729811281,0.150603138028945,1.01491335654725
man.dm.r1,-0.0587565470968032,-0.0425251186673956,0.137242418163544,-0.116979454538845,0.00576499806176453
air.temp.r1,0.0377019338732346,0.034028790386822,0.0141367168298368,0.0250631129457292,0.0576062875484727
wind.sqrt.r1,0.483976626229317,0.49016752850985,0.207870847147373,0.255115679014278,0.651683521519796
app.mthd.ts.r1,-0.136202141982821,-0.0647700269223773,0.460473641057532,-0.29543792070645,0.135247705720948
man.ph.r1,0.430676539060721,0.391524306610844,0.479298669540901,-0.0049894115648254,0.659304840507131
int.r2,-1.28363871028176,-1.22600936776241,0.259748020989803,-1.61181968016781,-1.01011295417868
rain.rate.r2,0.490157558169162,0.616568249104841,1.73882124771194,0.196758873599897,1.30183101175856
int.r3,-2.72414285100794,-2.70091717995873,0.0953395936736512,-2.86469954418575,-2.63526430729648
app.mthd.cs.r3,-0.473957542421426,-0.384396372165378,0.442514282274589,-0.892010515889273,-0.185052031945327
man.ph.r3,0.179561726172635,0.139233411308495,0.191032854183995,-0.0223794227550289,0.479673053869797
rain.rate.r5,0.594311582165446,0.428250560094549,0.829954913880883,-0.331638664688447,1.44406095844965
int.r5,-1.8,-1.8,0,-1.8,-1.8
incorp.shallow.f4,-1.41820868684353,-1.41820868684353,0,-1.41820868684353,-1.41820868684353
incorp.deep.f4,-2.94966809898743,-2.94966809898743,0,-2.94966809898743,-2.94966809898743
incorp.deep.r3,-5.35112098507367,-5.35112098507367,0,-5.35112098507367,-5.35112098507367
