inst.dropped,parameter,value,parset
104,int.f0,4,3-d104
202,int.f0,0.949418118751653,3-d202
203,int.f0,0.241774168341318,3-d203
204,int.f0,3.6918137258734,3-d204
205,int.f0,-2,3-d205
206,int.f0,-0.749909207705849,3-d206
207,int.f0,2.03596530583804,3-d207
208,int.f0,0.471019488492439,3-d208
209,int.f0,0.49303862456869,3-d209
210,int.f0,0.538509459330751,3-d210
212,int.f0,-2,3-d212
303,int.f0,0.524816603334194,3-d303
304,int.f0,0.517701360190027,3-d304
214,int.f0,1.72712249822802,3-d214
104,app.mthd.os.f0,-2.70480326376161,3-d104
202,app.mthd.os.f0,-2.70480326376161,3-d202
203,app.mthd.os.f0,-2.70480326376161,3-d203
204,app.mthd.os.f0,-5,3-d204
205,app.mthd.os.f0,0.213788013922736,3-d205
206,app.mthd.os.f0,-2.70480326376161,3-d206
207,app.mthd.os.f0,-2.55063776556317,3-d207
208,app.mthd.os.f0,-2.70480326376161,3-d208
209,app.mthd.os.f0,-2.70480326376161,3-d209
210,app.mthd.os.f0,-2.70480326376161,3-d210
212,app.mthd.os.f0,-2.70480326376161,3-d212
303,app.mthd.os.f0,-2.70480326376161,3-d303
304,app.mthd.os.f0,-2.70480326376161,3-d304
214,app.mthd.os.f0,-1.01327711679185,3-d214
104,app.rate.ni.f0,-0.210312801600289,3-d104
202,app.rate.ni.f0,-0.0252050527382472,3-d202
203,app.rate.ni.f0,0.0276034026001561,3-d203
204,app.rate.ni.f0,-0.108424825172731,3-d204
205,app.rate.ni.f0,0.423203770219391,3-d205
206,app.rate.ni.f0,0.0312864578814565,3-d206
207,app.rate.ni.f0,-0.000111230457202086,3-d207
208,app.rate.ni.f0,-0.0081845518013779,3-d208
209,app.rate.ni.f0,-0.499999999997934,3-d209
210,app.rate.ni.f0,0.5,3-d210
212,app.rate.ni.f0,0.117364649061352,3-d212
303,app.rate.ni.f0,0.499999999517206,3-d303
304,app.rate.ni.f0,0.5,3-d304
214,app.rate.ni.f0,0.0420833566454961,3-d214
104,man.dm.f0,0.967007067849901,3-d104
202,man.dm.f0,2,3-d202
203,man.dm.f0,0.434434441801671,3-d203
204,man.dm.f0,0.556962597114676,3-d204
205,man.dm.f0,2,3-d205
206,man.dm.f0,0.0572830263915516,3-d206
207,man.dm.f0,1.19923397564413,3-d207
208,man.dm.f0,0.891587044358905,3-d208
209,man.dm.f0,0.393154607371502,3-d209
210,man.dm.f0,0.537705338367912,3-d210
212,man.dm.f0,0.452383841704015,3-d212
303,man.dm.f0,0.414314973344768,3-d303
304,man.dm.f0,0.400505072707959,3-d304
214,man.dm.f0,-0.21691602879685,3-d214
104,man.source.pig.f0,1,3-d104
202,man.source.pig.f0,-0.947779816908473,3-d202
203,man.source.pig.f0,-0.864741325282276,3-d203
204,man.source.pig.f0,-1.08301477283672,3-d204
205,man.source.pig.f0,-3,3-d205
206,man.source.pig.f0,-0.864741325282276,3-d206
207,man.source.pig.f0,-1.5080368850619,3-d207
208,man.source.pig.f0,-0.864741325282276,3-d208
209,man.source.pig.f0,-0.864741325282276,3-d209
210,man.source.pig.f0,-0.864741325282276,3-d210
212,man.source.pig.f0,-3,3-d212
303,man.source.pig.f0,-0.864741325282276,3-d303
304,man.source.pig.f0,-0.864741325282276,3-d304
214,man.source.pig.f0,-0.673606721624395,3-d214
104,app.mthd.cs.f0,-5,3-d104
202,app.mthd.cs.f0,-5,3-d202
203,app.mthd.cs.f0,-5,3-d203
204,app.mthd.cs.f0,-5,3-d204
205,app.mthd.cs.f0,-4.99871087229712,3-d205
206,app.mthd.cs.f0,-5,3-d206
207,app.mthd.cs.f0,-5,3-d207
208,app.mthd.cs.f0,-5,3-d208
209,app.mthd.cs.f0,-5,3-d209
210,app.mthd.cs.f0,-5,3-d210
212,app.mthd.cs.f0,-5,3-d212
303,app.mthd.cs.f0,-5,3-d303
304,app.mthd.cs.f0,-5,3-d304
214,app.mthd.cs.f0,-5,3-d214
104,int.r1,-1.18449809611874,3-d104
202,int.r1,-3,3-d202
203,int.r1,-1.58450704756381,3-d203
204,int.r1,-1.35020952005609,3-d204
205,int.r1,-1.60890884325786,3-d205
206,int.r1,-1.45862795780598,3-d206
207,int.r1,-1.19370637610817,3-d207
208,int.r1,-0.922819518319305,3-d208
209,int.r1,-1.25619707247316,3-d209
210,int.r1,-1.64004834489036,3-d210
212,int.r1,-1.08819722967631,3-d212
303,int.r1,-1.54753388506712,3-d303
304,int.r1,-2.1061638846942,3-d304
214,int.r1,-2.03024802112915,3-d214
104,app.mthd.bc.r1,-0.0961095762583845,3-d104
202,app.mthd.bc.r1,0.622637134748561,3-d202
203,app.mthd.bc.r1,0.285444186284388,3-d203
204,app.mthd.bc.r1,0.622637134748561,3-d204
205,app.mthd.bc.r1,0.622637134748561,3-d205
206,app.mthd.bc.r1,0.622637134748561,3-d206
207,app.mthd.bc.r1,0.269009206571136,3-d207
208,app.mthd.bc.r1,1,3-d208
209,app.mthd.bc.r1,0.613754161373014,3-d209
210,app.mthd.bc.r1,0.229902888954501,3-d210
212,app.mthd.bc.r1,-1,3-d212
303,app.mthd.bc.r1,0.322417348779833,3-d303
304,app.mthd.bc.r1,-0.236212650848005,3-d304
214,app.mthd.bc.r1,1,3-d214
