parameter,value
int.f0,0.456577289249555
app.mthd.os.f0,-2.90044713227797
app.mthd.cs.f0,-8.40353547610707
man.source.pig.f0,-0.950797262151213
man.dm.f0,0.499751956087328
int.r1,-1.45151750716424
app.mthd.bc.r1,0.736155368995238
app.mthd.ts.r1,-0.0741320138487026
man.dm.r1,-0.0328096651633423
man.ph.r1,0.420939509566774
air.temp.r1,0.0331877076948405
wind.sqrt.r1,0.460582748075297
int.r2,-1.16927545581131
rain.rate.r2,0.601192778873173
int.r3,-2.68855917566496
app.mthd.cs.r3,-0.381935934182045
incorp.deep.r3,-5.3511836719022
man.ph.r3,0.117466987952662
incorp.shallow.f4,-1.41815039948287
incorp.deep.f4,-3.55605992565332
int.r5,-1.8
rain.rate.r5,0.484964226241593
