parameter,mn,md,se,l90,u90,min,max
int.f0,-2.62507394827824,-2.49795592220528,0.547521053712986,-3.54350744331086,-1.88492005610595,-3.61083348692337,-1.69001956662208
app.mthd.os.f0,1.13877592102962,1.04151666110419,0.649466290816902,0.365367434364545,2.23676814203583,0.0337350835991169,2.39194836843691
app.rate.ni.f0,-0.0391747503865499,-0.0376378974388186,0.0111895102726699,-0.055086814089129,-0.025940439398965,-0.0734634299019263,-0.021421793717478
man.dm.ni.f0,0.832919591344838,0.81538462354896,0.130333866986909,0.664366008740694,1.04707324085295,0.610891824419758,1.0876763817924
man.source.pig.f0,-1.25020086998458,-1.22903751772242,0.334878706654217,-1.6711425235093,-0.819982260501994,-1.92916184401697,-0.430381796178888
app.mthd.cs.f0,-1.11770825380726,-1.01423597233413,0.545718662227688,-2.17154964273815,-0.45839591192117,-2.20582590597736,-0.454477920506501
int.r1,-1.45075758698967,-1.46641533448243,0.116298044456121,-1.60830043722431,-1.29965955512954,-1.62893399039354,-1.26367788146099
app.mthd.bc.r1,0.646932061190863,0.625955619666032,0.072534118843849,0.569165403569062,0.748373437618311,0.568989749576087,0.813356766212868
man.dm.r1,-0.0260263806419157,-0.0181842386553042,0.0195262777048144,-0.0516855621908064,-0.00281050699693373,-0.0543444947355645,0.0147120546628934
air.temp.r1,0.0380878070540539,0.0381941313037853,0.00276795060306235,0.0342449453331297,0.0420898545437736,0.0324206725398731,0.0430072852933403
wind.sqrt.r1,0.501730129060396,0.509820385618586,0.0466220944136431,0.437697730693792,0.567868457373232,0.421741722456973,0.570282119804256
app.mthd.ts.r1,-0.200336989778447,-0.212304260540789,0.0522567406949423,-0.260093704379036,-0.121510313222691,-0.263338524662976,-0.0706927373405676
man.ph.r1,0.373405980189205,0.374546975645533,0.045641434458193,0.301354653477625,0.421531706951407,0.257000892744294,0.428015109699087
int.r2,-1.03115246325352,-0.98716577456717,0.111048024639148,-1.21288779261456,-0.918747990772485,-1.27023289969473,-0.89996178794797
rain.rate.r2,0.554300841111073,0.519040394456901,0.152828734865263,0.39055959453399,0.845301681477509,0.333621565973767,0.903900353170911
int.r3,-2.47221545878527,-2.46525862834485,0.0980042335180691,-2.60012605626056,-2.30234825946047,-2.65209649767502,-2.28438466606334
app.mthd.bc.r3,0.142580894373479,0.161720945968685,0.128890028265021,-0.0400435953329,0.328531689214134,-0.0753179701381417,0.416625792752578
app.mthd.cs.r3,-0.366112620355777,-0.316788265822226,0.28984890540727,-0.666172051556769,-0.183669171153751,-1.39514728723149,-0.159889454217084
man.ph.r3,0.202259731049199,0.195520685646181,0.0509672091468322,0.153342236238874,0.291073105853889,0.150226491581864,0.354165931287999
incorp.shallow.f4,-0.938782651263305,-0.983247756146733,0.311200420038628,-1.35530795722039,-0.441937664251885,-1.37760534651048,-0.0836323167963397
incorp.deep.f4,-2.36506479053144,-2.29334071423467,0.237840574493637,-2.73086277445057,-2.08794049199719,-2.77940626000916,-2.06981030704858
incorp.deep.r3,-1.05779364400202,-1.02241485906134,0.410386336045109,-1.6745441187231,-0.584268668118339,-1.86934010007952,-0.389849063339507
int.r5,-1.49610651658073,-1.49586809249727,0.111640893447885,-1.64802948474073,-1.32955303710448,-1.67580622217943,-1.28903875917383
rain.rate.r5,-0.0883694083241994,-0.132151053748438,0.3525433563566,-0.606646375939491,0.395689193688744,-0.854449176274579,0.420191084145738
