parameter,iteration,value,parset,value.ps3
int.f0,1,-0.580071445109577,3-001,0.453054505861782
int.f0,2,0.896087855098025,3-002,0.453054505861782
int.f0,3,1.53335459867727,3-003,0.453054505861782
int.f0,4,0.487387603776747,3-004,0.453054505861782
int.f0,5,0.369310146330565,3-005,0.453054505861782
int.f0,6,1.68043099599155,3-006,0.453054505861782
int.f0,7,-0.0164772577707923,3-007,0.453054505861782
int.f0,8,-0.228912437585511,3-008,0.453054505861782
int.f0,9,0.605031596138975,3-009,0.453054505861782
int.f0,10,0.321472753302649,3-010,0.453054505861782
int.f0,11,0.575865240075704,3-011,0.453054505861782
int.f0,12,0.93640900110982,3-012,0.453054505861782
int.f0,13,0.240092436253799,3-013,0.453054505861782
int.f0,14,-0.103253123361675,3-014,0.453054505861782
int.f0,15,0.925747540936862,3-015,0.453054505861782
int.f0,16,-0.270645262672812,3-016,0.453054505861782
int.f0,17,-1.51900595413887,3-017,0.453054505861782
int.f0,18,0.345228715546522,3-018,0.453054505861782
int.f0,19,0.192723177831308,3-019,0.453054505861782
int.f0,20,0.810504855092389,3-020,0.453054505861782
int.f0,21,0.818996709992205,3-021,0.453054505861782
int.f0,22,0.977331750456092,3-022,0.453054505861782
int.f0,23,-0.115012469090284,3-023,0.453054505861782
int.f0,24,0.534736737439944,3-024,0.453054505861782
int.f0,25,0.494016131485041,3-025,0.453054505861782
int.f0,26,0.28241647354823,3-026,0.453054505861782
int.f0,27,-0.902764764796406,3-027,0.453054505861782
int.f0,28,0.833184016705549,3-028,0.453054505861782
int.f0,29,0.687259082377865,3-029,0.453054505861782
int.f0,30,0.505938139732436,3-030,0.453054505861782
int.f0,31,0.133845684678717,3-031,0.453054505861782
int.f0,32,2.2438736120675,3-032,0.453054505861782
int.f0,33,0.856407500088344,3-033,0.453054505861782
int.f0,34,0.653493223353867,3-034,0.453054505861782
int.f0,35,0.242607348370903,3-035,0.453054505861782
int.f0,36,0.818134923941017,3-036,0.453054505861782
int.f0,37,1.35569244694775,3-037,0.453054505861782
int.f0,38,0.498557638003868,3-038,0.453054505861782
int.f0,39,0.645612170310173,3-039,0.453054505861782
int.f0,40,0.530395000016993,3-040,0.453054505861782
int.f0,41,0.836460722658724,3-041,0.453054505861782
int.f0,42,0.110860700702564,3-042,0.453054505861782
int.f0,43,1.06299130228142,3-043,0.453054505861782
