"ct","man.dm","wind.2m","rain.rate","app.rate.ni","man.ph","tan.app","man.source","air.temp","app.mthd","id","set","xval","air.temp.ave","id.pred","app.mthd.ts.pred","app.mthd.bc.pred","app.mthd.os.pred","app.mthd.cs.pred","man.source.pig.pred","ct.pred","dt.pred","f.pred","s.pred","e.pred","e.int.pred","j.pred","er.pred","f0.pred","r1.pred","r2.pred","r3.pred","f4.pred","r5.pred","parset","dedx","app.mthd.nm","set.nm","man.source.nm"
168,0,5,0,40,7,100,"cattle/other",15,"bsth","dm 202","man.dm",0,15,"dm 202",0,1,0,0,1,168,168,6.51107073493842e-06,4.74964768493683,10.4870987836265,10.4870987836265,0.0624232070453959,0.104870987836265,0.0116924822320845,0.0387964853558721,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",NA,"Trailing hose","DM","Cattle/other"
168,0.101010101010101,5,0,40,7,100,"cattle/other",15,"bsth","dm 204","man.dm",0.101010101010101,15,"dm 204",0,1,0,0,1,168,168,7.3900958564996e-06,4.74794227872413,10.5350040968542,10.5350040968542,0.06270835771937,0.105350040968542,0.0127197638085486,0.0385439502983433,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00474262600953696,"Trailing hose","DM","Cattle/other"
168,0.202020202020202,5,0,40,7,100,"cattle/other",15,"bsth","dm 206","man.dm",0.202020202020202,15,"dm 206",0,1,0,0,1,168,168,8.38471172938542e-06,4.74610530222397,10.5868922734494,10.5868922734494,0.0630172159133895,0.105868922734494,0.0138360370464024,0.0382930590483578,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00513692948293162,"Trailing hose","DM","Cattle/other"
168,0.303030303030303,5,0,40,7,100,"cattle/other",15,"bsth","dm 208","man.dm",0.303030303030303,15,"dm 208",0,1,0,0,1,168,168,9.5096373518569e-06,4.74412720050002,10.6430829079021,10.6430829079021,0.0633516839756077,0.106430829079021,0.0150487800455385,0.0380438009060022,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00556287281081378,"Trailing hose","DM","Cattle/other"
168,0.404040404040404,5,0,40,7,100,"cattle/other",15,"bsth","dm 210","man.dm",0.404040404040404,15,"dm 210",0,1,0,0,0,168,168,1.07813857952182e-05,4.74199781447115,10.7039192301623,10.7039192301623,0.0637138049414421,0.107039192301623,0.0163660571363842,0.0377961652410113,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00602279590375698,"Trailing hose","DM","Cattle/other"
168,0.505050505050505,5,0,40,7,100,"cattle/other",15,"bsth","dm 212","man.dm",0.505050505050505,15,"dm 212",0,1,0,0,0,168,168,1.22184684408686e-05,4.73970635725055,10.7697694961564,10.7697694961564,0.0641057708104549,0.107697694961564,0.0177965571054646,0.0375501414923146,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00651917633342108,"Trailing hose","DM","Cattle/other"
168,0.606060606060606,5,0,40,7,100,"cattle/other",15,"bsth","dm 214","man.dm",0.606060606060606,15,"dm 214",0,1,0,0,0,168,168,1.38416196661835e-05,4.73724139220691,10.8410283934589,10.8410283934589,0.0645299309134458,0.108410283934589,0.0193496324511396,0.0373057191675862,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00705463083294524,"Trailing hose","DM","Cattle/other"
168,0.707070707070707,5,0,40,7,100,"cattle/other",15,"bsth","dm 216","man.dm",0.707070707070707,15,"dm 216",0,1,0,0,0,168,168,1.56740434433066e-05,4.73459081337549,10.9181184473874,10.9181184473874,0.0649888002820678,0.109181184473874,0.0210353393809203,0.0370628878427968,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00763191533892105,"Trailing hose","DM","Cattle/other"
168,0.808080808080808,5,0,40,7,100,"cattle/other",15,"bsth","dm 218","man.dm",0.808080808080808,15,"dm 218",0,1,0,0,0,168,168,1.77416832858313e-05,4.73174182895328,11.0014914093477,11.0014914093477,0.0654850679127837,0.110014914093477,0.0228644781816346,0.0368216371617697,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00825392323406681,"Trailing hose","DM","Cattle/other"
168,0.909090909090909,5,0,40,7,100,"cattle/other",15,"bsth","dm 220","man.dm",0.909090909090909,15,"dm 220",0,1,0,0,1,168,168,2.00735169088224e-05,4.72868094872957,11.0916296053011,11.0916296053011,0.0660216047934588,0.110916296053011,0.0248486335005142,0.0365819568357387,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00892368139938716,"Trailing hose","DM","Cattle/other"
168,1.01010101010101,5,0,40,7,100,"cattle/other",15,"bsth","dm 222","man.dm",1.01010101010101,15,"dm 222",0,1,0,0,1,168,168,2.27018768474608e-05,4.72539397643275,11.1890472177295,11.1890472177295,0.0666014715341043,0.111890472177295,0.0270002139677726,0.0363438366429096,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.00964434363041674,"Trailing hose","DM","Cattle/other"
168,1.11111111111111,5,0,40,7,100,"cattle/other",15,"bsth","dm 224","man.dm",1.11111111111111,15,"dm 224",0,1,0,0,1,168,168,2.56627980969819e-05,4.72186600811503,11.2942914693928,11.2942914693928,0.0672279254130524,0.112942914693928,0.0293324904682857,0.0361072664280243,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.0104191809146644,"Trailing hose","DM","Cattle/other"
168,1.21212121212121,5,0,40,7,100,"cattle/other",15,"bsth","dm 226","man.dm",1.21212121212121,15,"dm 226",0,1,0,0,1,168,168,2.89963935780114e-05,4.71808143784843,11.4079436714919,11.4079436714919,0.0679044266160232,0.114079436714919,0.0318596322306159,0.0358722361019273,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.0112515680078112,"Trailing hose","DM","Cattle/other"
168,1.31313131313131,5,0,40,7,100,"cattle/other",15,"bsth","dm 228","man.dm",1.31313131313131,15,"dm 228",0,1,0,0,1,168,168,3.27472578817116e-05,4.7140239721661,11.5306200925618,11.5306200925618,0.0686346434081058,0.115306200925618,0.0345967397451746,0.0356387356411358,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.0121449656859175,"Trailing hose","DM","Cattle/other"
168,1.41414141414141,5,0,40,7,100,"cattle/other",15,"bsth","dm 230","man.dm",1.41414141414141,15,"dm 230",0,1,0,0,0,168,168,3.69648992915331e-05,4.70967665485128,11.6629725975331,11.6629725975331,0.0694224559376971,0.116629725975331,0.0375598733495816,0.0354067550874121,0.0332176077267397,0.00188670464186193,1,0.0162240199768167,"3",0.0131028979921615,"Trailing hose","DM","Cattle/other"
