sida,ct,sid,descrip,omit,man.source,man.dm,man.ph,man.tan,man.treat1,app.rate,tan.app,cereal.hght,incorp,time.incorp,air.temp,wind.2m,rain.rate,app.mthd,dt.x,rain.cum,app.rate.ni,man.dm.ni,wind.sqrt,app.mthd.ts,app.mthd.bc,app.mthd.os,app.mthd.cs,incorp.shallow,incorp.deep,man.source.pig,__group,__orig.order,__add.row,__f4,dt.y,f,s,e,ei,j,er,f0,r1,r2,r3,f4,r5,jinst,n,lwr,upr,upr.rel,lwr.rel,pars
14os,168,14,warming,0,cat,6,7.5,1.2,none,40,48,0,none,,22.9404761904762,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,14os,11592,FALSE,1,1,9.17565804060047e-07,2.47736964657581,5.48061505235036,0.00450456728125737,0.00450456728125737,0.114179480257299,0.0869110626875687,0.0701420167546726,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00446492515490704,100,0.104063605087356,0.15254576248962,133.601731367023,91.1403737806936,ps03
14ts,168,14,warming,0,cat,6,7.5,1.2,none,40,48,0,none,,22.9404761904762,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,14ts,11424,FALSE,1,1,2.28693372866908e-05,2.59973839777655,9.51329586664954,0.00472832799924561,0.00472832799924561,0.198193663888532,0.613594438864687,0.0550794841515217,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00468666056269135,100,0.152117620023572,0.258538898416535,130.447610354458,76.7520096450337,ps03
15bc,168,15,still,0,cat,6,7.5,1.2,none,40,48,0,none,,13,0,0,bc,1,0,40,6,0,0,1,0,0,0,0,0,15bc,11928,FALSE,1,1,1.85910615971217e-05,2.22503534879158,13.6020774683634,0.00404624539691234,0.00404624539691234,0.283376613924238,0.613594438864687,0.0286882628872531,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00401062247750804,100,0.162328435911931,0.373102063549039,131.662969072243,57.2836387816147,ps03
15bsth,168,15,still,0,cat,6,7.5,1.2,none,40,48,0,none,,13,0,0,bsth,1,0,40,6,0,0,0,0,0,0,0,0,15bsth,12096,FALSE,1,1,0.00095665990686705,2.90247653022844,6.85334408606205,0.00528256488759382,0.00528256488759382,0.142778001792959,0.613594438864687,0.00523131617208062,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00523601792997755,100,0.103649896912396,0.240583755018639,168.501976493204,72.5951446376853,ps03
15cs,168,15,still,0,cat,6,7.5,1.2,none,40,48,0,none,,13,0,0,cs,1,0,0,0,0,0,0,0,1,0,0,0,15cs,12600,FALSE,1,1,1.60425014339502e-05,2.79441757862002,2.95607630587975,0.00308082582073865,0.00308082582073865,0.0615849230391614,0.0102895392549555,0.00523131617208062,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00305480030959823,100,0.0450316353150148,0.0696476352078825,113.092022804988,73.1212009250698,ps03
15os,168,15,still,0,cat,6,7.5,1.2,none,40,48,0,none,,13,0,0,os,1,0,0,0,0,0,0,1,0,0,0,0,15os,12432,FALSE,1,1,0.000135503720161227,2.53461558947107,4.96071330196713,0.00460931071728155,0.00460931071728155,0.103348193790982,0.0869110626875687,0.00523131617208062,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00456874165171016,100,0.0813232110305467,0.13830079672832,133.820235898876,78.6885653705956,ps03
15ts,168,15,still,0,cat,6,7.5,1.2,none,40,48,0,none,,13,0,0,ts,1,0,40,6,0,1,0,0,0,0,0,0,15ts,12264,FALSE,1,1,0.00115537188142742,2.95337554734473,6.3980472197893,0.00537483283889273,0.00537483283889273,0.133292650412277,0.613594438864687,0.00410792574156373,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00532749271366321,100,0.0930138115999779,0.225292563205603,169.020994412496,69.7816506103557,ps03
16bc,168,16,windy,0,cat,6,7.5,1.2,none,40,48,0,none,,13,10,0,bc,1,0,40,6,3.16227766016838,0,1,0,0,0,0,0,16bc,12768,FALSE,1,1,2.24915282184646e-69,1.04650349744329,29.6905806233575,0.00190281400928072,0.00190281400928072,0.618553762986615,0.613594438864687,0.904729858975671,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00188606994681388,100,0.455035251624978,0.741168347957007,119.822785391905,73.5643817649565,ps03
16bsth,168,16,windy,0,cat,6,7.5,1.2,none,40,48,0,none,,13,10,0,bsth,1,0,40,6,3.16227766016838,0,0,0,0,0,0,0,16bsth,12936,FALSE,1,1,2.11551026203247e-15,1.37555654364427,24.4786250198295,0.00250111754829163,0.00250111754829163,0.509971354579781,0.613594438864687,0.164977850392141,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00247910863503978,100,0.413105224238837,0.604734951181025,118.582141085028,81.0055742403881,ps03
16cs,168,16,windy,0,cat,6,7.5,1.2,none,40,48,0,none,,13,10,0,cs,1,0,0,0,3.16227766016838,0,0,0,1,0,0,0,16cs,13440,FALSE,1,1,3.54755918676842e-17,2.76612762239114,3.26311125254621,0.00304955116132843,0.00304955116132843,0.0679814844280461,0.0102895392549555,0.164977850392141,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00302379123259535,100,0.0491603251869826,0.160934622116247,236.733021454667,72.3142861627501,ps03
16os,168,16,windy,0,cat,6,7.5,1.2,none,40,48,0,none,,13,10,0,os,1,0,0,0,3.16227766016838,0,0,1,0,0,0,0,16os,13272,FALSE,1,1,2.99646204975213e-16,2.31833879446221,7.45720251225881,0.00421533950640196,0.00421533950640196,0.155358385672059,0.0869110626875687,0.164977850392141,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00417824607127497,100,0.143525082729338,0.333600177758731,214.729431125088,92.3832222563774,ps03
16ts,168,16,windy,0,cat,6,7.5,1.2,none,40,48,0,none,,13,10,0,ts,1,0,40,6,3.16227766016838,1,0,0,0,0,0,0,16ts,13104,FALSE,1,1,8.13367462172555e-13,1.46394976449422,23.1871130082387,0.00266183928452435,0.00266183928452435,0.483064854338307,0.613594438864687,0.129549951889867,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00263841607917579,100,0.402443492165495,0.546384112480936,113.107817216254,83.3104475623164,ps03
17bc,168,17,light rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bc,1,3,40,6,1.6431676725155,0,1,0,0,0,0,0,17bc,13608,FALSE,1,1,3.47648927234429e-16,1.6302708303895,18.0993231967827,0.00296425399682221,0.00296425399682221,0.377069233266305,0.613594438864687,0.172389655071473,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00293816965340015,100,0.142458965816329,0.550087752986074,145.885080100814,37.7805859635642,ps03
17bsth,168,17,light rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bsth,1,3,40,6,1.6431676725155,0,0,0,0,0,0,0,17bsth,13776,FALSE,1,1,6.68923774502521e-06,2.19360231987167,10.3445205311432,0.0039887557612257,0.0039887557612257,0.215510844398816,0.613594438864687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00395364896333601,100,0.122531268766691,0.291514032711582,135.266526157782,56.856196312766,ps03
17cs,168,17,light rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,cs,1,3,0,0,1.6431676725155,0,0,0,1,0,0,0,17cs,14280,FALSE,1,1,1.12173725841647e-07,2.58826927656398,2.82100749094832,0.00285347273891734,0.00285347273891734,0.0587709893947567,0.0102895392549555,0.0314353223134852,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00282936898380397,100,0.0196256690459738,0.0742565869103246,126.349050228767,33.3934637617735,ps03
17os,168,17,light rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,os,1,3,0,0,1.6431676725155,0,0,1,0,0,0,0,17os,14112,FALSE,1,1,9.47480492270471e-07,2.28449024640241,5.1815191571346,0.00415382517195972,0.00415382517195972,0.107948315773638,0.0869110626875687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00411727201818915,100,0.0494234241965573,0.147148293193633,136.313653565653,45.7843402579766,ps03
17ts,168,17,light rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,ts,1,3,40,6,1.6431676725155,1,0,0,0,0,0,0,17ts,13944,FALSE,1,1,2.07924187805587e-05,2.2731766627252,9.43461260561514,0.00413375658915527,0.00413375658915527,0.196554429283649,0.613594438864687,0.0246847954660249,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.004097365486759,100,0.103236322372494,0.260501874227696,132.534217202383,52.5230200859598,ps03
18bc,168,18,moderate rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bc,1,15,40,6,1.6431676725155,0,1,0,0,0,0,0,18bc,14448,FALSE,1,1,2.93505905047589e-126,0.0175958730319854,0.142456803359777,3.19938478873516e-05,3.19938478873516e-05,0.00296785006999536,0.613594438864687,0.172389655071473,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,3.17123138094232e-05,100,5.74484738416062e-05,0.487504672673568,16426.1893686001,1.93569326235189,ps03
18bsth,168,18,moderate rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bsth,1,15,40,6,1.6431676725155,0,0,0,0,0,0,0,18bsth,14616,FALSE,1,1,5.64745242866283e-116,0.0176143147862843,0.0936619024838657,3.20273797661391e-05,3.20273797661391e-05,0.00195128963508054,0.613594438864687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,3.17455506200355e-05,100,3.23550821245273e-05,0.265964809829096,13630.2066616635,1.65813836874052,ps03
18cs,168,18,moderate rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,cs,1,15,0,0,1.6431676725155,0,0,0,1,0,0,0,18cs,15120,FALSE,1,1,9.47037322612283e-118,0.0196095690195835,0.0508540977731733,2.16188087247826e-05,2.16188087247826e-05,0.00105946037027444,0.0102895392549555,0.0314353223134852,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,2.14361920239721e-05,100,9.81336053166358e-06,0.0666453386064397,6290.49849114941,0.92626027428676,ps03
18os,168,18,moderate rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,os,1,15,0,0,1.6431676725155,0,0,1,0,0,0,0,18os,14952,FALSE,1,1,7.99919394577199e-117,0.0174335576702911,0.083978346522483,3.16987165811383e-05,3.16987165811383e-05,0.00174954888588506,0.0869110626875687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,3.141977955001e-05,100,2.06938974569985e-05,0.117302978099442,6704.75566849341,1.18281333113649,ps03
18ts,168,18,moderate rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,ts,1,15,40,6,1.6431676725155,1,0,0,0,0,0,0,18ts,14784,FALSE,1,1,1.755419681822e-115,0.0176151995613559,0.0913209645999519,3.20289885160502e-05,3.20289885160502e-05,0.00190252009583233,0.613594438864687,0.0246847954660249,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,3.17471452135331e-05,100,2.12457442961252e-05,0.220599588814265,11595.1252918438,1.1167158939696,ps03
19bc,168,19,heavy rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bc,1,45,40,6,1.6431676725155,0,1,0,0,0,0,0,19bc,15288,FALSE,1,1,0,1.33563950061554e-130,0.000865094990791432,0,0,1.80228123081548e-05,0.613594438864687,0.172389655071473,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,2.40716780024424e-133,100,1.34106603739459e-05,0.463705045259066,2572878.40172009,74.4093660004323,ps03
19bsth,168,19,heavy rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bsth,1,45,40,6,1.6431676725155,0,0,0,0,0,0,0,19bsth,15456,FALSE,1,1,0,1.33563950121722e-130,0.000865073368027323,0,0,1.80223618339026e-05,0.613594438864687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,2.40716780132863e-133,100,1.34106536410288e-05,0.250878994828534,1392042.82513403,74.4111885258099,ps03
19cs,168,19,heavy rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,cs,1,45,0,0,1.6431676725155,0,0,0,1,0,0,0,19cs,15960,FALSE,1,1,0,1.50461975149742e-130,0.000524706140659613,0,0,1.09313779304086e-05,0.0102895392549555,0.0314353223134852,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,1.64477444067993e-133,100,8.78019054346617e-06,0.0668012965446498,611096.761725014,80.3209860583237,ps03
19os,168,19,heavy rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,os,1,45,0,0,1.6431676725155,0,0,1,0,0,0,0,19os,15792,FALSE,1,1,0,1.33563913492458e-130,0.000865069228803657,0,0,1.80222756000762e-05,0.0869110626875687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,2.40716714117456e-133,100,1.34106519342545e-05,0.111705870457709,619821.119910279,74.4115351015818,ps03
19ts,168,19,heavy rain,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,ts,1,45,40,6,1.6431676725155,1,0,0,0,0,0,0,19ts,15624,FALSE,1,1,0,1.33563950124604e-130,0.000865072332478809,0,0,1.80223402599752e-05,0.613594438864687,0.0246847954660249,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,2.40716780138056e-133,100,1.34106514362541e-05,0.229130813319666,1271371.03181061,74.4112653673346,ps03
1bc,168,1,ref,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,1bc,168,FALSE,1,1,6.09030369875173e-16,1.36081811572922,24.6981723350496,0.00247431927462927,0.00247431927462927,0.5145452569802,0.613594438864687,0.172389655071473,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00245254617631698,100,0.384842803054019,0.577142989259138,112.16564168647,74.7927996290574,ps03
1bsth,168,1,ref,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,1bsth,336,FALSE,1,1,1.17185718662912e-05,2.17528618138234,14.1557212801032,0.00395561726051064,0.00395561726051064,0.294910860002151,0.613594438864687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00392079664363811,100,0.215716973144085,0.353220031812211,119.771795385777,73.1465003162352,ps03
1cs,168,1,ref,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,1cs,840,FALSE,1,1,1.9651205681284e-07,2.7810319726232,3.08322310368028,0.00306598909437028,0.00306598909437028,0.0642338146600059,0.0102895392549555,0.0314353223134852,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00304009009412506,100,0.0466319665942229,0.0956629586095432,148.929281432052,72.5972244386374,ps03
1os,168,1,ref,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,1os,672,FALSE,1,1,1.65984805202025e-06,2.43161451581191,5.99504041101635,0.00442135851123826,0.00442135851123826,0.124896675229507,0.0869110626875687,0.0314353223134852,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00438245039412223,100,0.117160842987187,0.191537031619507,153.356389405517,93.806214434367,ps03
1ts,168,1,ref,0,cat,6,7.5,1.2,none,40,48,0,none,,13,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,1ts,504,FALSE,1,1,3.64252943371921e-05,2.30526066526818,12.7277748401629,0.00419249473162608,0.00419249473162608,0.265161975836728,0.613594438864687,0.0246847954660249,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00415557505117093,100,0.206076347492481,0.329257438273484,124.172192198561,77.7171564068339,ps03
20bc,168,20,pH 6.4,0,cat,6,6.4,1.2,none,40,48,0,none,,13,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,20bc,16128,FALSE,1,1,3.35163740741694e-07,1.92784434735052,17.2927122346739,0.00328384607446708,0.00328384607446708,0.360264838222372,0.613594438864687,0.0525919354715143,0.0562856036059318,0.00168847486491028,1,0.0158489319246111,0.00325513435087053,100,0.196988571410199,0.462508563611343,128.380156635175,54.6788224968566,ps03
