sida,ct,sid,descrip,omit,man.source,man.dm,man.ph,man.tan,man.treat1,app.rate,tan.app,cereal.hght,incorp,time.incorp,air.temp,wind.2m,rain.rate,app.mthd,dt.x,rain.cum,app.rate.ni,man.dm.ni,wind.sqrt,app.mthd.ts,app.mthd.bc,app.mthd.os,app.mthd.cs,incorp.shallow,incorp.deep,man.source.pig,__group,__orig.order,__add.row,__f4,dt.y,f,s,e,ei,j,er,f0,r1,r2,r3,f4,r5,jinst,n,lwr,upr,upr.rel,lwr.rel,pars
10bc,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,10bc,7728,FALSE,1,1,4.11117799451463e-11,1.54585305984322,22.0276908466673,0.00281076066224628,0.00281076066224628,0.458910225972235,0.613594438864687,0.106199553165691,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00278602700330456,100,0.305936168530753,0.512417714732639,111.659685431294,66.6657989332456,ps03
10bsth,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,10bsth,7896,FALSE,1,1,8.90234562490697e-05,2.42895849168927,11.4225536400553,0.00441826093955733,0.00441826093955733,0.237969867501151,0.613594438864687,0.0193655308488638,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00437933536038791,100,0.169853854116361,0.287872620518573,120.970198261417,71.3762023318098,ps03
10cs,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,10cs,8400,FALSE,1,1,1.49285959856722e-06,2.78571890161036,3.03562165442722,0.00307117979052851,0.00307117979052851,0.0632421178005671,0.0102895392549555,0.0193655308488638,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00304523634115044,100,0.045594662345097,0.0858348325144895,135.724158993486,72.0954071918954,ps03
10os,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,10os,8232,FALSE,1,1,1.26095066980116e-05,2.46754530114297,5.60790765841292,0.00448688852788237,0.00448688852788237,0.116831409550269,0.0869110626875687,0.0193655308488638,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00444739897356152,100,0.10627548409252,0.159912532903841,136.874607196308,90.9648223038793,ps03
10ts,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,10ts,8064,FALSE,1,1,0.000179029020644147,2.54263852285071,10.2664147856549,0.00462598722463348,0.00462598722463348,0.213883641367811,0.613594438864687,0.0152069116177037,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00458521466822484,100,0.158958476273062,0.268048041289676,125.324236849288,74.3200720057431,ps03
11bc,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,11bc,8568,FALSE,1,1,1.69252982283837e-25,1.20576022414123,27.0844722207951,0.00219238392602961,0.00219238392602961,0.564259837933232,0.613594438864687,0.303364294593044,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00217309175494616,100,0.444321452110171,0.642849425658471,113.927907400445,78.744121456106,ps03
11bsth,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,11bsth,8736,FALSE,1,1,2.11990093373784e-07,1.86532818407036,17.818624074246,0.00339166145248626,0.00339166145248626,0.371221334880125,0.613594438864687,0.0553186000342169,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00336181552174138,100,0.27663456934028,0.44071818101956,118.721134700374,74.5201159921509,ps03
11cs,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,11cs,9240,FALSE,1,1,3.55492202873804e-09,2.77527866149641,3.14703655026011,0.00305964004402259,0.00305964004402259,0.0655632614637523,0.0102895392549555,0.0553186000342169,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00303379488375005,100,0.0478069797858645,0.114212558318136,174.202069525293,72.9173301000216,ps03
11os,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,11os,9072,FALSE,1,1,3.00268110780832e-08,2.38771128392353,6.51386319394319,0.00434147838932031,0.00434147838932031,0.13570548320715,0.0869110626875687,0.0553186000342169,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00430327489928524,100,0.127765084218527,0.238945712619787,176.076682365917,94.1488001803864,ps03
11ts,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,11ts,8904,FALSE,1,1,1.55972112792083e-06,1.9969525092814,16.2164443677271,0.00363104728613806,0.00363104728613806,0.337842590994315,0.613594438864687,0.0434392977967239,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00359909262235906,100,0.271553993399784,0.421357103607018,124.719947939929,80.3788511686953,ps03
12bc,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,12bc,9408,FALSE,1,1,1.13634272203997e-77,1.03676078960254,29.8554529790225,0.00188509924672786,0.00188509924672786,0.621988603729635,0.613594438864687,1.01844068873107,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00186851106764728,100,0.476811192995574,0.740074944104257,118.985290030483,76.6591526173418,ps03
12bsth,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,12bsth,9576,FALSE,1,1,6.49446377066829e-17,1.33677308470349,25.0589954346779,0.00243059918960498,0.00243059918960498,0.522062404889124,0.613594438864687,0.185713065520988,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00240921081193574,100,0.427926173384492,0.614300383716102,117.667998684289,81.9683948464696,ps03
12cs,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,12cs,10080,FALSE,1,1,1.08907505797839e-18,2.76539981193433,3.27322877255006,0.00304874877780659,0.00304874877780659,0.0681922660947929,0.0102895392549555,0.185713065520988,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00302299562690438,100,0.0503761999297125,0.154872822221336,227.112004176617,73.8737731045415,ps03
12os,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,12os,9912,FALSE,1,1,9.19892215677606e-18,2.31284540759664,7.53940764045429,0.00420535110835907,0.00420535110835907,0.157070992509464,0.0869110626875687,0.185713065520988,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.0041683455674556,100,0.142953187404136,0.36956591954099,235.285913481906,91.0118317330439,ps03
12ts,168,12,hot,0,cat,6,7.5,1.2,none,40,48,0,none,,35,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,12ts,9744,FALSE,1,1,5.27587070857566e-14,1.41910834266909,23.8369478560878,0.00258030598246606,0.00258030598246606,0.496603080335163,0.613594438864687,0.145832417178286,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00255760024015984,100,0.427368242466421,0.609203969977896,122.674222956237,86.058314857408,ps03
13bc,168,13,cooling,0,cat,6,7.5,1.2,none,40,48,0,none,,3.05952380952381,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,13bc,10248,FALSE,1,1,2.35993617377468e-17,1.16126684114481,27.799049559023,0.00211148344868661,0.00211148344868661,0.57914686581298,0.613594438864687,0.0772593179012247,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00209290317200627,100,0.45545393710163,0.661614814097908,114.239557036912,78.6422173695587,ps03
13bsth,168,13,cooling,0,cat,6,7.5,1.2,none,40,48,0,none,,3.05952380952381,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,13bsth,10416,FALSE,1,1,6.47803924211113e-06,1.78748427201228,18.9011643821791,0.00325020290680911,0.00325020290680911,0.393774257962065,0.613594438864687,0.014088267413367,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00322160019774623,100,0.291185019727419,0.455863749158494,115.767788254561,73.9471953383686,ps03
13cs,168,13,cooling,0,cat,6,7.5,1.2,none,40,48,0,none,,3.05952380952381,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,13cs,10920,FALSE,1,1,1.08632078217945e-07,2.77382200085938,3.1659049137717,0.00305803550492412,0.00305803550492412,0.0659563523702438,0.0102895392549555,0.014088267413367,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00303220386957939,100,0.0481064444456851,0.12016297539144,182.185598616657,72.9367873099488,ps03
13os,168,13,cooling,0,cat,6,7.5,1.2,none,40,48,0,none,,3.05952380952381,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,13os,10752,FALSE,1,1,9.17565804060047e-07,2.37668527603916,6.66719693135235,0.00432144184441086,0.00432144184441086,0.138899936069841,0.0869110626875687,0.014088267413367,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00428341444742708,100,0.130288202937256,0.253471350768944,182.484857762278,93.8000452870944,ps03
13ts,168,13,cooling,0,cat,6,7.5,1.2,none,40,48,0,none,,3.05952380952381,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,13ts,10584,FALSE,1,1,2.28693372866908e-05,1.92420674057726,17.2238404773628,0.003498966022498,0.003498966022498,0.358830009945058,0.613594438864687,0.0110629054826151,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00346817118193061,100,0.293150797833111,0.426709298017576,118.916836995577,81.6962878545183,ps03
14bc,168,14,warming,0,cat,6,7.5,1.2,none,40,48,0,none,,22.9404761904762,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,14bc,11088,FALSE,1,1,2.35993617377468e-17,1.65765110074424,20.442616865897,0.00301403840952474,0.00301403840952474,0.425887851372855,0.613594438864687,0.384655132648929,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00298751598160434,100,0.272930790397158,0.478374134445313,112.323968129936,64.0851316883921,ps03
14bsth,168,14,warming,0,cat,6,7.5,1.2,none,40,48,0,none,,22.9404761904762,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,14bsth,11256,FALSE,1,1,6.47803924211114e-06,2.49831863453714,10.523864419451,0.00454307341361471,0.00454307341361471,0.219247175405228,0.613594438864687,0.0701420167546726,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00450307067181538,100,0.163929690312126,0.285987842652978,130.440833330872,74.7693510801859,ps03
14cs,168,14,warming,0,cat,6,7.5,1.2,none,40,48,0,none,,22.9404761904762,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,14cs,11760,FALSE,1,1,1.08632078217945e-07,2.78701457710181,3.01996058241118,0.00307258635829166,0.00307258635829166,0.0629158454668995,0.0102895392549555,0.0701420167546726,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00304663141791666,100,0.0456637013828106,0.0872291804163591,138.644215569273,72.5790157375134,ps03
