sida,pars,ct,sid,descrip,omit,man.source,man.dm,man.ph,man.tan,man.treat1,app.rate,tan.app,cereal.hght,incorp,time.incorp,air.temp,wind.2m,rain.rate,app.mthd,dt.x,rain.cum,app.rate.ni,man.dm.ni,wind.sqrt,app.mthd.ts,app.mthd.bc,app.mthd.os,app.mthd.cs,incorp.shallow,incorp.deep,man.source.pig,__group,__orig.order,__add.row,__f4,app.mthd.bsth,incorp.none,meas.tech.mm,nmax,km,j,er.int,er,dt.y,f,s,e,ei,f0,r1,r2,r3,f4,r5,jinst,n,lwr,upr
10os,ALFAM,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,10os,8232,FALSE,1,0,1,1,0.141616184672428,8.21912188763521,3.76967386277183e-05,3.76967386277183e-05,0.135010995232052,,,,,,,,,,,,,,,
10os,ps01,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,10os,8232,FALSE,1,0,1,1,,,0.0313974988944707,,0.146672943376524,1,1.73720172283796e-10,40.9596987177531,7.04030128207316,0.0313974988944707,0.12917479347156,0.0335543631133658,0.111077705480687,0.000766252492109954,1,0,0.0313854712243803,,,
10os,ps02,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,10os,8232,FALSE,1,0,1,1,,,0.0240913578549637,,0.151403286158556,1,0.000265847243052518,40.7323764171462,7.26735773561071,0.0240913578549637,0.0871295114252626,0.0416417317713715,0.0158786853066665,0.000591000363671547,1,0,0.0240839196153271,,,
10os,ps03,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,os,1,0,0,0,1.6431676725155,0,0,1,0,0,0,0,10os,8232,FALSE,1,0,1,1,,,0.00448688852788237,,0.116831409550269,1,1.26095066980116e-05,2.46754530114297,5.60790765841292,0.00448688852788237,0.0869110626875687,0.0193655308488638,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00444739897356152,100,0.10627548409252,0.159912532903841
10ts,ALFAM,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,10ts,8064,FALSE,1,0,1,1,0.344443760524887,8.21912188763521,9.16873056740486e-05,9.16873056740486e-05,0.328378391336436,,,,,,,,,,,,,,,
10ts,ps01,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,10ts,8064,FALSE,1,0,1,1,,,0.038145234243693,,0.218869987127191,1,4.35423938554459e-10,37.4942406174594,10.5057593821052,0.038145234243693,0.323772401304441,0.0335543631133658,0.111077705480687,0.00101684533371475,1,0,0.0381258436276519,,,
10ts,ps02,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,10ts,8064,FALSE,1,0,1,1,,,0.0236821285757074,,0.203121305843694,1,0.075880759433323,38.1742965600694,9.74982268049733,0.0236821285757074,0.258909644928267,0.0144696301522457,0.0158786853066665,0.000591000363671547,1,0,0.0236589896745782,,,
10ts,ps03,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,ts,1,0,40,6,1.6431676725155,1,0,0,0,0,0,0,10ts,8064,FALSE,1,0,1,1,,,0.00462598722463348,,0.213883641367811,1,0.000179029020644147,2.54263852285071,10.2664147856549,0.00462598722463348,0.613594438864687,0.0152069116177037,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00458521466822484,100,0.158958476273062,0.268048041289676
11bc,ALFAM,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,11bc,8568,FALSE,1,0,1,1,0.690985498615043,4.83449873142028,0.000112481108848428,0.000112481108848428,0.671657363659328,,,,,,,,,,,,,,,
11bc,ps01,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,11bc,8568,FALSE,1,0,1,1,,,0.0427000284182597,,0.44609049287838,1,4.07415207355657e-53,26.5876563418378,21.4123436581622,0.0427000284182597,0.323772401304441,0.623302257730719,0.111077705480687,0.00160472123648961,1,0,0.0426657767602346,,,
11bc,ps02,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,11bc,8568,FALSE,1,0,1,1,,,0.0535320461954214,,0.482658153831831,1,1.77115698917947e-171,24.8324086160721,23.1675913839279,0.0535320461954214,0.258909644928267,2.33942097406368,0.0158786853066665,0.00215341288111717,1,0,0.0534744285830147,,,
11bc,ps03,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,11bc,8568,FALSE,1,0,1,1,,,0.00219238392602961,,0.564259837933232,1,1.69252982283837e-25,1.20576022414123,27.0844722207951,0.00219238392602961,0.613594438864687,0.303364294593044,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00217309175494616,100,0.444321452110171,0.642849425658471
11bsth,ALFAM,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,11bsth,8736,FALSE,1,1,1,1,0.398698632690528,4.83449873142028,6.49015998037683e-05,6.49015998037683e-05,0.38754629882137,,,,,,,,,,,,,,,
11bsth,ps01,168,11,warm,0,cat,6,7.5,1.2,none,40,48,0,none,,20,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,11bsth,8736,FALSE,1,1,1,1,,,0.0480763810677836,,0.376347849687599,1,2.42879025271519e-18,29.9353032149953,18.0646967850048,0.0480763810677836,0.323772401304441,0.146676014249409,0.111077705480687,0.00160472123648961,1,0,0.0480378167898584,,,
