sid,descrip,bc,bsth,cs,os,ts,bc.red,bsth.red,ts.red,os.red,cs.red,bsth.bc.red,ts.bc.red,os.bc.red,cs.bc.red,ts.bsth.red,os.bsth.red,cs.bsth.red
1,ref,0.5,0.31,0.064,0.15,0.29,0,0,0,0,0,38,43,70,87,8.4,51,80
2,low DM,0.28,0.19,0.064,0.15,0.18,45,40,36,1.6,0.63,32,33,45,77,2,20,66
3,high DM,0.77,0.34,0.068,0.17,0.29,-54,-6.6,-1.3,-14,-6.5,57,62,77,91,13,48,80
4,pig,0.42,0.27,0.064,0.15,0.25,16,16,14,0.77,0.31,37,41,64,85,7,43,76
5,low application,0.67,0.42,0.065,0.16,0.37,-33,-32,-29,-3.1,-1.3,38,45,76,90,10,62,84
6,high application,0.3,0.19,0.064,0.15,0.19,40,38,35,1.5,0.6,36,38,50,79,3.7,23,67
7,shallow incorp,0.31,0.16,0.064,0.15,0.16,39,48,44,1.7,0.68,47,48,51,79,1.8,7.6,61
8,deep incorp,0.13,0.033,0.01,0.026,0.029,74,90,90,83,84,75,78,80,92,12,19,68
9,shallow incorp quick,0.24,0.15,0.064,0.15,0.15,53,52,47,1.8,0.73,35,36,36,73,0.27,1.4,58
10,cold,0.41,0.19,0.064,0.15,0.18,18,40,38,1.4,0.54,54,57,63,85,6,20,66
11,cool,0.47,0.25,0.064,0.15,0.22,6.1,22,22,0.79,0.3,48,53,68,86,8.5,38,74
12,warm,0.52,0.39,0.065,0.15,0.37,-3.6,-25,-29,-0.88,-0.34,25,29,70,88,5.5,61,84
13,hot,0.53,0.47,0.065,0.16,0.47,-5.9,-50,-61,-1.8,-0.69,12,13,71,88,1.1,67,86
14,cooling,0.5,0.31,0.064,0.15,0.29,0,0,0,0,0,38,43,70,87,8.4,51,80
15,warming,0.5,0.31,0.064,0.15,0.29,0,0,0,0,0,38,43,70,87,8.4,51,80
16,still,0.38,0.17,0.064,0.15,0.17,24,45,42,1.6,0.61,54,56,60,83,4.7,14,63
17,windy,0.53,0.49,0.065,0.16,0.49,-6.2,-55,-69,-1.9,-0.76,9,9.1,71,88,0.077,68,87
18,light rain,0.23,0.15,0.065,0.15,0.15,54,52,47,0.74,-0.4,34,34,34,72,0,0,58
19,moderate rain,0.24,0.16,0.067,0.16,0.16,52,50,45,-3,-4.3,34,34,34,72,0,0,58
20,heavy rain,,,,,,,,,,,,,,,,,
21,pH 6.4,0.37,0.15,0.046,0.11,0.14,26,51,51,27,28,59,62,70,88,7.5,27,70
22,pH 6,0.3,0.12,0.041,0.1,0.11,40,62,60,35,36,60,62,67,86,5.6,17,66
23,tall cereal,0.5,0.31,0.064,0.15,0.29,0,0,0,0,0,38,43,70,87,8.4,51,80
24,"low DM, high application, cold, still",0.23,0.15,0.064,0.15,0.15,54,52,48,1.9,0.74,35,35,35,72,0.071,0.066,58
25,"high DM, low application, hot, windy",0.98,0.98,0.11,0.38,0.98,-94,-210,-240,-150,-77,0.25,0.26,61,88,0.014,61,88
26,"high DM, low application, hot, windy, pH 6",0.98,0.97,0.092,0.35,0.97,-94,-210,-240,-130,-43,0.58,0.73,65,91,0.16,64,91
27,best,0.0018,0.001,0.00039,0.001,0.001,100,100,100,99,99,43,43,43,78,0.37,0.01,61
